Transaction_Text,Amount,Debit_Account,Credit_Account,Transaction_Type
IT equipment purchased,68028,Computer Asset,Bank,Laptop Purchase
New workstation purchased,288124,Computer Asset,Bank,Laptop Purchase
Laptop purchased,432161,Computer Asset,Bank,Laptop Purchase
Laptop purchased,139533,Computer Asset,Bank,Laptop Purchase
IT equipment purchased,133168,Computer Asset,Bank,Laptop Purchase
Laptop purchased,239031,Computer Asset,Bank,Laptop Purchase
New workstation purchased,452501,Computer Asset,Bank,Laptop Purchase
IT equipment purchased,445044,Computer Asset,Bank,Laptop Purchase
Laptop purchased,273086,Computer Asset,Bank,Laptop Purchase
Laptop purchased,438301,Computer Asset,Bank,Laptop Purchase
New workstation purchased,387239,Computer Asset,Bank,Laptop Purchase
Office laptop bought,452362,Computer Asset,Bank,Laptop Purchase
New workstation purchased,475531,Computer Asset,Bank,Laptop Purchase
Computer equipment acquired,27867,Computer Asset,Bank,Laptop Purchase
Laptop purchased,85820,Computer Asset,Bank,Laptop Purchase
Laptop purchased,141542,Computer Asset,Bank,Laptop Purchase
Computer equipment acquired,138147,Computer Asset,Bank,Laptop Purchase
Computer equipment acquired,123817,Computer Asset,Bank,Laptop Purchase
Office laptop bought,334564,Computer Asset,Bank,Laptop Purchase
Office laptop bought,177389,Computer Asset,Bank,Laptop Purchase
Laptop purchased,173909,Computer Asset,Bank,Laptop Purchase
Office laptop bought,143371,Computer Asset,Bank,Laptop Purchase
Computer equipment acquired,52918,Computer Asset,Bank,Laptop Purchase
Office laptop bought,280322,Computer Asset,Bank,Laptop Purchase
New workstation purchased,326315,Computer Asset,Bank,Laptop Purchase
Laptop purchased,133939,Computer Asset,Bank,Laptop Purchase
New workstation purchased,53071,Computer Asset,Bank,Laptop Purchase
New workstation purchased,105704,Computer Asset,Bank,Laptop Purchase
Computer equipment acquired,139423,Computer Asset,Bank,Laptop Purchase
Laptop purchased,408902,Computer Asset,Bank,Laptop Purchase
Office laptop bought,253430,Computer Asset,Bank,Laptop Purchase
IT equipment purchased,330443,Computer Asset,Bank,Laptop Purchase
Laptop purchased,493347,Computer Asset,Bank,Laptop Purchase
IT equipment purchased,226199,Computer Asset,Bank,Laptop Purchase
New workstation purchased,333356,Computer Asset,Bank,Laptop Purchase
New workstation purchased,311648,Computer Asset,Bank,Laptop Purchase
IT equipment purchased,144988,Computer Asset,Bank,Laptop Purchase
Computer equipment acquired,243270,Computer Asset,Bank,Laptop Purchase
Office laptop bought,372089,Computer Asset,Bank,Laptop Purchase
Computer equipment acquired,101202,Computer Asset,Bank,Laptop Purchase
Computer equipment acquired,438078,Computer Asset,Bank,Laptop Purchase
Office laptop bought,84812,Computer Asset,Bank,Laptop Purchase
Office laptop bought,318816,Computer Asset,Bank,Laptop Purchase
IT equipment purchased,411439,Computer Asset,Bank,Laptop Purchase
New workstation purchased,387178,Computer Asset,Bank,Laptop Purchase
New workstation purchased,216739,Computer Asset,Bank,Laptop Purchase
Computer equipment acquired,369909,Computer Asset,Bank,Laptop Purchase
Laptop purchased,469667,Computer Asset,Bank,Laptop Purchase
Computer equipment acquired,403439,Computer Asset,Bank,Laptop Purchase
Office laptop bought,36522,Computer Asset,Bank,Laptop Purchase
IT equipment purchased,356266,Computer Asset,Bank,Laptop Purchase
IT equipment purchased,314410,Computer Asset,Bank,Laptop Purchase
Office laptop bought,400023,Computer Asset,Bank,Laptop Purchase
IT equipment purchased,348332,Computer Asset,Bank,Laptop Purchase
Computer equipment acquired,53571,Computer Asset,Bank,Laptop Purchase
IT equipment purchased,166073,Computer Asset,Bank,Laptop Purchase
New workstation purchased,95985,Computer Asset,Bank,Laptop Purchase
Laptop purchased,337447,Computer Asset,Bank,Laptop Purchase
Computer equipment acquired,409031,Computer Asset,Bank,Laptop Purchase
Office laptop bought,338723,Computer Asset,Bank,Laptop Purchase
Office laptop bought,15250,Computer Asset,Bank,Laptop Purchase
New workstation purchased,45281,Computer Asset,Bank,Laptop Purchase
IT equipment purchased,126383,Computer Asset,Bank,Laptop Purchase
Laptop purchased,112120,Computer Asset,Bank,Laptop Purchase
Laptop purchased,69394,Computer Asset,Bank,Laptop Purchase
Laptop purchased,303935,Computer Asset,Bank,Laptop Purchase
Computer equipment acquired,269879,Computer Asset,Bank,Laptop Purchase
Office laptop bought,379207,Computer Asset,Bank,Laptop Purchase
Office laptop bought,473936,Computer Asset,Bank,Laptop Purchase
IT equipment purchased,348877,Computer Asset,Bank,Laptop Purchase
IT equipment purchased,371102,Computer Asset,Bank,Laptop Purchase
GST deposited,304171,GST Payable,Bank,GST Payment
GST paid to government,256315,GST Payable,Bank,GST Payment
GST challan payment,2726,GST Payable,Bank,GST Payment
GST deposited,361445,GST Payable,Bank,GST Payment
GST liability settled,315005,GST Payable,Bank,GST Payment
GST deposited,326332,GST Payable,Bank,GST Payment
GST deposited,316715,GST Payable,Bank,GST Payment
GST paid to government,247286,GST Payable,Bank,GST Payment
GST liability settled,245192,GST Payable,Bank,GST Payment
Tax payment made,310034,GST Payable,Bank,GST Payment
GST deposited,20543,GST Payable,Bank,GST Payment
GST paid to government,320109,GST Payable,Bank,GST Payment
GST paid to government,496864,GST Payable,Bank,GST Payment
GST deposited,136430,GST Payable,Bank,GST Payment
GST paid to government,206917,GST Payable,Bank,GST Payment
Tax payment made,438758,GST Payable,Bank,GST Payment
GST paid to government,221269,GST Payable,Bank,GST Payment
GST paid to government,216810,GST Payable,Bank,GST Payment
GST deposited,482175,GST Payable,Bank,GST Payment
GST paid to government,130336,GST Payable,Bank,GST Payment
Tax payment made,125330,GST Payable,Bank,GST Payment
GST challan payment,279149,GST Payable,Bank,GST Payment
GST deposited,453953,GST Payable,Bank,GST Payment
GST deposited,276454,GST Payable,Bank,GST Payment
Tax payment made,43954,GST Payable,Bank,GST Payment
GST paid to government,88234,GST Payable,Bank,GST Payment
GST paid to government,380280,GST Payable,Bank,GST Payment
GST deposited,147918,GST Payable,Bank,GST Payment
GST deposited,373990,GST Payable,Bank,GST Payment
Tax payment made,80990,GST Payable,Bank,GST Payment
GST paid to government,58980,GST Payable,Bank,GST Payment
GST liability settled,6055,GST Payable,Bank,GST Payment
GST liability settled,491747,GST Payable,Bank,GST Payment
GST challan payment,72723,GST Payable,Bank,GST Payment
GST paid to government,407674,GST Payable,Bank,GST Payment
GST liability settled,241098,GST Payable,Bank,GST Payment
GST challan payment,388607,GST Payable,Bank,GST Payment
GST paid to government,37419,GST Payable,Bank,GST Payment
Tax payment made,69006,GST Payable,Bank,GST Payment
GST challan payment,107969,GST Payable,Bank,GST Payment
GST deposited,218503,GST Payable,Bank,GST Payment
GST deposited,379660,GST Payable,Bank,GST Payment
GST deposited,464663,GST Payable,Bank,GST Payment
GST liability settled,190501,GST Payable,Bank,GST Payment
GST challan payment,119779,GST Payable,Bank,GST Payment
GST deposited,458394,GST Payable,Bank,GST Payment
GST deposited,129434,GST Payable,Bank,GST Payment
GST paid to government,347982,GST Payable,Bank,GST Payment
GST deposited,180343,GST Payable,Bank,GST Payment
Tax payment made,15627,GST Payable,Bank,GST Payment
GST challan payment,404046,GST Payable,Bank,GST Payment
GST challan payment,323235,GST Payable,Bank,GST Payment
GST deposited,384321,GST Payable,Bank,GST Payment
GST challan payment,23383,GST Payable,Bank,GST Payment
Tax payment made,326791,GST Payable,Bank,GST Payment
GST liability settled,365122,GST Payable,Bank,GST Payment
GST liability settled,71880,GST Payable,Bank,GST Payment
GST deposited,312915,GST Payable,Bank,GST Payment
GST liability settled,194537,GST Payable,Bank,GST Payment
GST liability settled,157560,GST Payable,Bank,GST Payment
GST paid to government,282151,GST Payable,Bank,GST Payment
GST paid to government,62972,GST Payable,Bank,GST Payment
GST challan payment,176852,GST Payable,Bank,GST Payment
GST challan payment,37707,GST Payable,Bank,GST Payment
Tax payment made,499928,GST Payable,Bank,GST Payment
GST liability settled,112039,GST Payable,Bank,GST Payment
GST challan payment,145714,GST Payable,Bank,GST Payment
Tax payment made,122251,GST Payable,Bank,GST Payment
GST liability settled,371722,GST Payable,Bank,GST Payment
GST paid to government,53847,GST Payable,Bank,GST Payment
GST paid to government,465978,GST Payable,Bank,GST Payment
GST challan payment,11792,GST Payable,Bank,GST Payment
GST paid to government,363113,GST Payable,Bank,GST Payment
GST liability settled,280257,GST Payable,Bank,GST Payment
GST liability settled,426069,GST Payable,Bank,GST Payment
GST paid to government,255580,GST Payable,Bank,GST Payment
GST liability settled,47231,GST Payable,Bank,GST Payment
GST deposited,265571,GST Payable,Bank,GST Payment
GST paid to government,431141,GST Payable,Bank,GST Payment
Tax payment made,149604,GST Payable,Bank,GST Payment
GST liability settled,297208,GST Payable,Bank,GST Payment
GST paid to government,313734,GST Payable,Bank,GST Payment
GST paid to government,31572,GST Payable,Bank,GST Payment
GST paid to government,153245,GST Payable,Bank,GST Payment
GST deposited,267573,GST Payable,Bank,GST Payment
GST challan payment,20946,GST Payable,Bank,GST Payment
GST challan payment,71329,GST Payable,Bank,GST Payment
Tax payment made,251576,GST Payable,Bank,GST Payment
Tax payment made,246011,GST Payable,Bank,GST Payment
GST paid to government,160964,GST Payable,Bank,GST Payment
GST deposited,203757,GST Payable,Bank,GST Payment
GST liability settled,78297,GST Payable,Bank,GST Payment
GST paid to government,102719,GST Payable,Bank,GST Payment
Tax payment made,172698,GST Payable,Bank,GST Payment
Tax payment made,88012,GST Payable,Bank,GST Payment
GST paid to government,248078,GST Payable,Bank,GST Payment
Tax payment made,162800,GST Payable,Bank,GST Payment
GST liability settled,23295,GST Payable,Bank,GST Payment
GST challan payment,169580,GST Payable,Bank,GST Payment
GST deposited,383523,GST Payable,Bank,GST Payment
GST deposited,348975,GST Payable,Bank,GST Payment
GST paid to government,285357,GST Payable,Bank,GST Payment
GST liability settled,404734,GST Payable,Bank,GST Payment
GST liability settled,449581,GST Payable,Bank,GST Payment
GST paid to government,439841,GST Payable,Bank,GST Payment
GST paid to government,426007,GST Payable,Bank,GST Payment
GST liability settled,66256,GST Payable,Bank,GST Payment
Tax payment made,147359,GST Payable,Bank,GST Payment
GST liability settled,301193,GST Payable,Bank,GST Payment
Tax payment made,430957,GST Payable,Bank,GST Payment
GST liability settled,44599,GST Payable,Bank,GST Payment
GST deposited,95596,GST Payable,Bank,GST Payment
GST deposited,427119,GST Payable,Bank,GST Payment
GST deposited,308741,GST Payable,Bank,GST Payment
GST liability settled,95770,GST Payable,Bank,GST Payment
GST paid to government,489715,GST Payable,Bank,GST Payment
Tax payment made,218160,GST Payable,Bank,GST Payment
GST challan payment,13676,GST Payable,Bank,GST Payment
Tax payment made,27128,GST Payable,Bank,GST Payment
GST deposited,437680,GST Payable,Bank,GST Payment
Tax payment made,495912,GST Payable,Bank,GST Payment
Tax payment made,15446,GST Payable,Bank,GST Payment
GST deposited,108841,GST Payable,Bank,GST Payment
GST liability settled,254024,GST Payable,Bank,GST Payment
GST paid to government,89573,GST Payable,Bank,GST Payment
Tax payment made,120074,GST Payable,Bank,GST Payment
Tax payment made,101204,GST Payable,Bank,GST Payment
GST challan payment,61885,GST Payable,Bank,GST Payment
GST challan payment,132933,GST Payable,Bank,GST Payment
Tax payment made,18249,GST Payable,Bank,GST Payment
GST deposited,239961,GST Payable,Bank,GST Payment
GST challan payment,213122,GST Payable,Bank,GST Payment
GST challan payment,219699,GST Payable,Bank,GST Payment
GST challan payment,379367,GST Payable,Bank,GST Payment
GST challan payment,471834,GST Payable,Bank,GST Payment
Tax payment made,10146,GST Payable,Bank,GST Payment
GST challan payment,96331,GST Payable,Bank,GST Payment
GST liability settled,19303,GST Payable,Bank,GST Payment
GST deposited,290934,GST Payable,Bank,GST Payment
GST paid to government,281068,GST Payable,Bank,GST Payment
GST challan payment,157104,GST Payable,Bank,GST Payment
GST paid to government,148045,GST Payable,Bank,GST Payment
Tax payment made,373059,GST Payable,Bank,GST Payment
GST paid to government,366857,GST Payable,Bank,GST Payment
GST deposited,369231,GST Payable,Bank,GST Payment
GST deposited,114196,GST Payable,Bank,GST Payment
GST challan payment,54592,GST Payable,Bank,GST Payment
GST deposited,172915,GST Payable,Bank,GST Payment
GST liability settled,7333,GST Payable,Bank,GST Payment
Tax payment made,163893,GST Payable,Bank,GST Payment
GST paid to government,282810,GST Payable,Bank,GST Payment
GST liability settled,140442,GST Payable,Bank,GST Payment
GST challan payment,217016,GST Payable,Bank,GST Payment
GST liability settled,338069,GST Payable,Bank,GST Payment
Tax payment made,11339,GST Payable,Bank,GST Payment
GST challan payment,131881,GST Payable,Bank,GST Payment
GST paid to government,261749,GST Payable,Bank,GST Payment
GST deposited,145164,GST Payable,Bank,GST Payment
GST paid to government,351619,GST Payable,Bank,GST Payment
GST liability settled,422822,GST Payable,Bank,GST Payment
GST liability settled,293430,GST Payable,Bank,GST Payment
GST deposited,110056,GST Payable,Bank,GST Payment
GST challan payment,382484,GST Payable,Bank,GST Payment
GST liability settled,3828,GST Payable,Bank,GST Payment
Tax payment made,159653,GST Payable,Bank,GST Payment
Tax payment made,439014,GST Payable,Bank,GST Payment
GST deposited,228137,GST Payable,Bank,GST Payment
GST liability settled,388844,GST Payable,Bank,GST Payment
GST deposited,421178,GST Payable,Bank,GST Payment
GST liability settled,310080,GST Payable,Bank,GST Payment
GST challan payment,113582,GST Payable,Bank,GST Payment
GST paid to government,181773,GST Payable,Bank,GST Payment
GST deposited,480017,GST Payable,Bank,GST Payment
GST deposited,472104,GST Payable,Bank,GST Payment
GST challan payment,466338,GST Payable,Bank,GST Payment
Tax payment made,191489,GST Payable,Bank,GST Payment
GST paid to government,260038,GST Payable,Bank,GST Payment
GST deposited,333734,GST Payable,Bank,GST Payment
Tax payment made,422980,GST Payable,Bank,GST Payment
Tax payment made,36541,GST Payable,Bank,GST Payment
GST paid to government,175916,GST Payable,Bank,GST Payment
GST challan payment,343684,GST Payable,Bank,GST Payment
GST deposited,199092,GST Payable,Bank,GST Payment
Tax payment made,418945,GST Payable,Bank,GST Payment
Tax payment made,430298,GST Payable,Bank,GST Payment
GST paid to government,292794,GST Payable,Bank,GST Payment
Tax payment made,376938,GST Payable,Bank,GST Payment
GST challan payment,173816,GST Payable,Bank,GST Payment
Tax payment made,219687,GST Payable,Bank,GST Payment
GST liability settled,289398,GST Payable,Bank,GST Payment
Tax payment made,157628,GST Payable,Bank,GST Payment
GST paid to government,13831,GST Payable,Bank,GST Payment
GST deposited,74330,GST Payable,Bank,GST Payment
GST liability settled,214355,GST Payable,Bank,GST Payment
GST challan payment,497490,GST Payable,Bank,GST Payment
GST deposited,237394,GST Payable,Bank,GST Payment
GST deposited,53513,GST Payable,Bank,GST Payment
GST challan payment,156752,GST Payable,Bank,GST Payment
Tax payment made,151663,GST Payable,Bank,GST Payment
GST challan payment,15339,GST Payable,Bank,GST Payment
Loan principal paid,318588,Loan Payable,Bank,Loan Repayment
Loan installment paid,261948,Loan Payable,Bank,Loan Repayment
EMI transferred,280813,Loan Payable,Bank,Loan Repayment
Bank loan repayment,163874,Loan Payable,Bank,Loan Repayment
Bank loan repayment,69874,Loan Payable,Bank,Loan Repayment
Loan principal paid,277579,Loan Payable,Bank,Loan Repayment
Loan installment paid,358279,Loan Payable,Bank,Loan Repayment
EMI transferred,430141,Loan Payable,Bank,Loan Repayment
Loan principal paid,286642,Loan Payable,Bank,Loan Repayment
Loan principal paid,361821,Loan Payable,Bank,Loan Repayment
Loan installment paid,204509,Loan Payable,Bank,Loan Repayment
Loan EMI paid,437554,Loan Payable,Bank,Loan Repayment
Loan installment paid,358126,Loan Payable,Bank,Loan Repayment
Loan principal paid,230787,Loan Payable,Bank,Loan Repayment
EMI transferred,459761,Loan Payable,Bank,Loan Repayment
Loan EMI paid,121021,Loan Payable,Bank,Loan Repayment
Loan principal paid,293586,Loan Payable,Bank,Loan Repayment
Loan principal paid,221136,Loan Payable,Bank,Loan Repayment
Loan principal paid,340166,Loan Payable,Bank,Loan Repayment
Loan principal paid,266983,Loan Payable,Bank,Loan Repayment
Bank loan repayment,133048,Loan Payable,Bank,Loan Repayment
EMI transferred,153313,Loan Payable,Bank,Loan Repayment
Loan EMI paid,452109,Loan Payable,Bank,Loan Repayment
EMI transferred,427180,Loan Payable,Bank,Loan Repayment
Loan installment paid,82948,Loan Payable,Bank,Loan Repayment
Loan principal paid,278042,Loan Payable,Bank,Loan Repayment
Bank loan repayment,313979,Loan Payable,Bank,Loan Repayment
Loan installment paid,360254,Loan Payable,Bank,Loan Repayment
Loan principal paid,12258,Loan Payable,Bank,Loan Repayment
Bank loan repayment,158980,Loan Payable,Bank,Loan Repayment
EMI transferred,491563,Loan Payable,Bank,Loan Repayment
Loan installment paid,38306,Loan Payable,Bank,Loan Repayment
Bank loan repayment,30540,Loan Payable,Bank,Loan Repayment
Bank loan repayment,445873,Loan Payable,Bank,Loan Repayment
Loan EMI paid,239292,Loan Payable,Bank,Loan Repayment
Loan principal paid,206456,Loan Payable,Bank,Loan Repayment
Loan EMI paid,469813,Loan Payable,Bank,Loan Repayment
Loan EMI paid,147149,Loan Payable,Bank,Loan Repayment
EMI transferred,115007,Loan Payable,Bank,Loan Repayment
Bank loan repayment,437029,Loan Payable,Bank,Loan Repayment
Loan principal paid,400106,Loan Payable,Bank,Loan Repayment
Loan EMI paid,70227,Loan Payable,Bank,Loan Repayment
EMI transferred,182156,Loan Payable,Bank,Loan Repayment
EMI transferred,291006,Loan Payable,Bank,Loan Repayment
Bank loan repayment,185900,Loan Payable,Bank,Loan Repayment
Loan principal paid,185256,Loan Payable,Bank,Loan Repayment
Bank loan repayment,255457,Loan Payable,Bank,Loan Repayment
Loan installment paid,357951,Loan Payable,Bank,Loan Repayment
Bank loan repayment,161919,Loan Payable,Bank,Loan Repayment
Bank loan repayment,372802,Loan Payable,Bank,Loan Repayment
Loan installment paid,443626,Loan Payable,Bank,Loan Repayment
Bank loan repayment,298050,Loan Payable,Bank,Loan Repayment
Loan principal paid,441091,Loan Payable,Bank,Loan Repayment
Bank loan repayment,311835,Loan Payable,Bank,Loan Repayment
Loan EMI paid,479380,Loan Payable,Bank,Loan Repayment
Bank loan repayment,138007,Loan Payable,Bank,Loan Repayment
Loan EMI paid,472535,Loan Payable,Bank,Loan Repayment
Loan principal paid,276925,Loan Payable,Bank,Loan Repayment
Bank loan repayment,160152,Loan Payable,Bank,Loan Repayment
Loan EMI paid,419047,Loan Payable,Bank,Loan Repayment
EMI transferred,224075,Loan Payable,Bank,Loan Repayment
Bank loan repayment,242479,Loan Payable,Bank,Loan Repayment
EMI transferred,354235,Loan Payable,Bank,Loan Repayment
Loan EMI paid,288663,Loan Payable,Bank,Loan Repayment
EMI transferred,119080,Loan Payable,Bank,Loan Repayment
Loan principal paid,254282,Loan Payable,Bank,Loan Repayment
Loan installment paid,472534,Loan Payable,Bank,Loan Repayment
Bank loan repayment,61449,Loan Payable,Bank,Loan Repayment
Loan EMI paid,174888,Loan Payable,Bank,Loan Repayment
Loan installment paid,228635,Loan Payable,Bank,Loan Repayment
EMI transferred,445147,Loan Payable,Bank,Loan Repayment
Loan EMI paid,231097,Loan Payable,Bank,Loan Repayment
Loan principal paid,228954,Loan Payable,Bank,Loan Repayment
Loan principal paid,17820,Loan Payable,Bank,Loan Repayment
Loan installment paid,31801,Loan Payable,Bank,Loan Repayment
Loan principal paid,167831,Loan Payable,Bank,Loan Repayment
Bank loan repayment,296498,Loan Payable,Bank,Loan Repayment
Loan EMI paid,184484,Loan Payable,Bank,Loan Repayment
Bank loan repayment,20097,Loan Payable,Bank,Loan Repayment
EMI transferred,246848,Loan Payable,Bank,Loan Repayment
Loan principal paid,117740,Loan Payable,Bank,Loan Repayment
Bank loan repayment,56679,Loan Payable,Bank,Loan Repayment
Loan EMI paid,419616,Loan Payable,Bank,Loan Repayment
Loan principal paid,227191,Loan Payable,Bank,Loan Repayment
Loan principal paid,302930,Loan Payable,Bank,Loan Repayment
Bank loan repayment,246672,Loan Payable,Bank,Loan Repayment
Loan installment paid,466823,Loan Payable,Bank,Loan Repayment
Loan installment paid,241079,Loan Payable,Bank,Loan Repayment
Bank loan repayment,224681,Loan Payable,Bank,Loan Repayment
Loan principal paid,473011,Loan Payable,Bank,Loan Repayment
Bank loan repayment,442615,Loan Payable,Bank,Loan Repayment
Bank loan repayment,212608,Loan Payable,Bank,Loan Repayment
Loan EMI paid,328307,Loan Payable,Bank,Loan Repayment
EMI transferred,467786,Loan Payable,Bank,Loan Repayment
Loan installment paid,272656,Loan Payable,Bank,Loan Repayment
Bank loan repayment,380715,Loan Payable,Bank,Loan Repayment
Bank loan repayment,298021,Loan Payable,Bank,Loan Repayment
Loan installment paid,58284,Loan Payable,Bank,Loan Repayment
Bank loan repayment,351398,Loan Payable,Bank,Loan Repayment
Bank loan repayment,494047,Loan Payable,Bank,Loan Repayment
EMI transferred,203018,Loan Payable,Bank,Loan Repayment
Bank loan repayment,175978,Loan Payable,Bank,Loan Repayment
Bank loan repayment,264651,Loan Payable,Bank,Loan Repayment
EMI transferred,193972,Loan Payable,Bank,Loan Repayment
Loan EMI paid,425992,Loan Payable,Bank,Loan Repayment
EMI transferred,92019,Loan Payable,Bank,Loan Repayment
Loan installment paid,479622,Loan Payable,Bank,Loan Repayment
Loan EMI paid,457079,Loan Payable,Bank,Loan Repayment
Loan installment paid,314924,Loan Payable,Bank,Loan Repayment
Bank loan repayment,463345,Loan Payable,Bank,Loan Repayment
Bank loan repayment,274102,Loan Payable,Bank,Loan Repayment
Loan principal paid,248376,Loan Payable,Bank,Loan Repayment
Bank loan repayment,174731,Loan Payable,Bank,Loan Repayment
EMI transferred,368012,Loan Payable,Bank,Loan Repayment
Loan EMI paid,4213,Loan Payable,Bank,Loan Repayment
Loan installment paid,263164,Loan Payable,Bank,Loan Repayment
EMI transferred,198785,Loan Payable,Bank,Loan Repayment
Loan EMI paid,73925,Loan Payable,Bank,Loan Repayment
Bank loan repayment,173978,Loan Payable,Bank,Loan Repayment
Loan EMI paid,376547,Loan Payable,Bank,Loan Repayment
Loan installment paid,269055,Loan Payable,Bank,Loan Repayment
EMI transferred,476579,Loan Payable,Bank,Loan Repayment
EMI transferred,343616,Loan Payable,Bank,Loan Repayment
Loan installment paid,433242,Loan Payable,Bank,Loan Repayment
Loan EMI paid,55848,Loan Payable,Bank,Loan Repayment
EMI transferred,33434,Loan Payable,Bank,Loan Repayment
Loan EMI paid,180816,Loan Payable,Bank,Loan Repayment
Loan EMI paid,301024,Loan Payable,Bank,Loan Repayment
Loan principal paid,131348,Loan Payable,Bank,Loan Repayment
Loan principal paid,212844,Loan Payable,Bank,Loan Repayment
Bank loan repayment,415149,Loan Payable,Bank,Loan Repayment
EMI transferred,239303,Loan Payable,Bank,Loan Repayment
Bank loan repayment,192273,Loan Payable,Bank,Loan Repayment
Loan principal paid,282221,Loan Payable,Bank,Loan Repayment
Loan principal paid,295184,Loan Payable,Bank,Loan Repayment
Loan EMI paid,362419,Loan Payable,Bank,Loan Repayment
Loan installment paid,470473,Loan Payable,Bank,Loan Repayment
EMI transferred,263671,Loan Payable,Bank,Loan Repayment
EMI transferred,196528,Loan Payable,Bank,Loan Repayment
Loan principal paid,459141,Loan Payable,Bank,Loan Repayment
Loan principal paid,22161,Loan Payable,Bank,Loan Repayment
Loan installment paid,442199,Loan Payable,Bank,Loan Repayment
Loan installment paid,264877,Loan Payable,Bank,Loan Repayment
Loan installment paid,106279,Loan Payable,Bank,Loan Repayment
Bank loan repayment,190744,Loan Payable,Bank,Loan Repayment
EMI transferred,402479,Loan Payable,Bank,Loan Repayment
EMI transferred,374429,Loan Payable,Bank,Loan Repayment
Loan principal paid,485337,Loan Payable,Bank,Loan Repayment
Loan installment paid,2439,Loan Payable,Bank,Loan Repayment
EMI transferred,290615,Loan Payable,Bank,Loan Repayment
Bank loan repayment,195325,Loan Payable,Bank,Loan Repayment
Loan principal paid,133601,Loan Payable,Bank,Loan Repayment
Bank loan repayment,475323,Loan Payable,Bank,Loan Repayment
Loan installment paid,75979,Loan Payable,Bank,Loan Repayment
Bank loan repayment,490383,Loan Payable,Bank,Loan Repayment
EMI transferred,115029,Loan Payable,Bank,Loan Repayment
Loan principal paid,266731,Loan Payable,Bank,Loan Repayment
Loan principal paid,217932,Loan Payable,Bank,Loan Repayment
Bank loan repayment,444266,Loan Payable,Bank,Loan Repayment
EMI transferred,167937,Loan Payable,Bank,Loan Repayment
Loan EMI paid,35250,Loan Payable,Bank,Loan Repayment
Loan EMI paid,5647,Loan Payable,Bank,Loan Repayment
Bank loan repayment,284723,Loan Payable,Bank,Loan Repayment
Bank loan repayment,6832,Loan Payable,Bank,Loan Repayment
Bank loan repayment,329802,Loan Payable,Bank,Loan Repayment
Bank loan repayment,262726,Loan Payable,Bank,Loan Repayment
Loan installment paid,276891,Loan Payable,Bank,Loan Repayment
Loan EMI paid,150388,Loan Payable,Bank,Loan Repayment
EMI transferred,440439,Loan Payable,Bank,Loan Repayment
Loan installment paid,384340,Loan Payable,Bank,Loan Repayment
Loan EMI paid,142625,Loan Payable,Bank,Loan Repayment
Bank loan repayment,73687,Loan Payable,Bank,Loan Repayment
Bank loan repayment,269861,Loan Payable,Bank,Loan Repayment
Loan principal paid,232124,Loan Payable,Bank,Loan Repayment
Loan installment paid,27484,Loan Payable,Bank,Loan Repayment
Loan installment paid,142522,Loan Payable,Bank,Loan Repayment
Loan installment paid,96223,Loan Payable,Bank,Loan Repayment
Loan EMI paid,22743,Loan Payable,Bank,Loan Repayment
Loan principal paid,77508,Loan Payable,Bank,Loan Repayment
Loan principal paid,283566,Loan Payable,Bank,Loan Repayment
Loan installment paid,109321,Loan Payable,Bank,Loan Repayment
Loan EMI paid,81524,Loan Payable,Bank,Loan Repayment
Loan principal paid,305275,Loan Payable,Bank,Loan Repayment
Loan EMI paid,338217,Loan Payable,Bank,Loan Repayment
Loan principal paid,306995,Loan Payable,Bank,Loan Repayment
Loan principal paid,324581,Loan Payable,Bank,Loan Repayment
Loan installment paid,138611,Loan Payable,Bank,Loan Repayment
Loan EMI paid,181367,Loan Payable,Bank,Loan Repayment
Loan EMI paid,468893,Loan Payable,Bank,Loan Repayment
Loan EMI paid,411865,Loan Payable,Bank,Loan Repayment
Loan installment paid,458081,Loan Payable,Bank,Loan Repayment
Loan principal paid,206067,Loan Payable,Bank,Loan Repayment
Loan EMI paid,318782,Loan Payable,Bank,Loan Repayment
Loan EMI paid,39713,Loan Payable,Bank,Loan Repayment
Loan principal paid,139281,Loan Payable,Bank,Loan Repayment
Bank loan repayment,492268,Loan Payable,Bank,Loan Repayment
EMI transferred,43229,Loan Payable,Bank,Loan Repayment
EMI transferred,450846,Loan Payable,Bank,Loan Repayment
Bank loan repayment,476471,Loan Payable,Bank,Loan Repayment
Loan installment paid,309050,Loan Payable,Bank,Loan Repayment
Sales receipt received,304625,Bank,Accounts Receivable,Customer Receipt
Invoice amount received,327488,Bank,Accounts Receivable,Customer Receipt
Customer payment received,121347,Bank,Accounts Receivable,Customer Receipt
Sales receipt received,157696,Bank,Accounts Receivable,Customer Receipt
Sales receipt received,168094,Bank,Accounts Receivable,Customer Receipt
Customer payment received,121259,Bank,Accounts Receivable,Customer Receipt
Customer payment received,426788,Bank,Accounts Receivable,Customer Receipt
Payment collected from customer,447774,Bank,Accounts Receivable,Customer Receipt
Client payment credited,351058,Bank,Accounts Receivable,Customer Receipt
Client payment credited,423749,Bank,Accounts Receivable,Customer Receipt
Sales receipt received,99760,Bank,Accounts Receivable,Customer Receipt
Client payment credited,244094,Bank,Accounts Receivable,Customer Receipt
Sales receipt received,199281,Bank,Accounts Receivable,Customer Receipt
Invoice amount received,67622,Bank,Accounts Receivable,Customer Receipt
Sales receipt received,141590,Bank,Accounts Receivable,Customer Receipt
Sales receipt received,425729,Bank,Accounts Receivable,Customer Receipt
