Transaction_Text,Amount,Deductee_Type,TDS_Section,TDS_Rate,TDS_Amount,Net_Payment,Ledger
Warehouse rent paid,281942,Individual,194I,10%,28194.2,253747.8,Rent Expense
CA fees paid,443278,Firm,194J,10%,44327.8,398950.2,Professional Fees
Brokerage charges paid,487921,Company,194H,5%,24396.05,463524.95,Commission Expense
Goods purchased from vendor,361319,Firm,194Q,0.1%,361.32,360957.68,Purchase Expense
Property rent paid,85787,Individual,194I,10%,8578.7,77208.3,Rent Expense
Commission paid to agent,240017,Individual,194H,5%,12000.85,228016.15,Commission Expense
Labour charges paid,83135,Individual,194C,1%,831.35,82303.65,Contractor Expense
Bulk inventory purchase,43480,Company,194Q,0.1%,43.48,43436.52,Purchase Expense
Office rent paid,485810,Firm,194I,10%,48581.0,437229.0,Rent Expense
Commission paid to agent,245756,Contractor,194H,5%,12287.8,233468.2,Commission Expense
Audit fees paid,168378,Contractor,194J,10%,16837.8,151540.2,Professional Fees
CA fees paid,7798,Company,194J,10%,779.8,7018.2,Professional Fees
Construction work payment,69715,Individual,194C,1%,697.15,69017.85,Contractor Expense
Raw material purchase made,211793,Individual,194Q,0.1%,211.79,211581.21,Purchase Expense
Interest on unsecured loan,330189,Company,194A,10%,33018.9,297170.1,Interest Expense
Professional consultancy charges,62489,Professional,194J,10%,6248.9,56240.1,Professional Fees
Bank interest paid,60337,Professional,194A,10%,6033.7,54303.3,Interest Expense
Freight charges paid,82771,Contractor,194C,1%,827.71,81943.29,Contractor Expense
Legal consultancy fees paid,243408,Firm,194J,10%,24340.8,219067.2,Professional Fees
Building lease payment,48253,Individual,194I,10%,4825.3,43427.7,Rent Expense
Professional consultancy charges,367739,Firm,194J,10%,36773.9,330965.1,Professional Fees
Transport charges paid,174412,Individual,194C,1%,1744.12,172667.88,Contractor Expense
Bank interest paid,92201,Company,194A,10%,9220.1,82980.9,Interest Expense
Referral commission paid,384409,Contractor,194H,5%,19220.45,365188.55,Commission Expense
Agent incentive paid,108930,Company,194H,5%,5446.5,103483.5,Commission Expense
Labour charges paid,167355,Professional,194C,1%,1673.55,165681.45,Contractor Expense
Doctor consultation fees paid,372830,Company,194J,10%,37283.0,335547.0,Professional Fees
Brokerage charges paid,353680,Company,194H,5%,17684.0,335996.0,Commission Expense
Audit fees paid,123204,Professional,194J,10%,12320.4,110883.6,Professional Fees
Freight charges paid,410232,Individual,194C,1%,4102.32,406129.68,Contractor Expense
Bulk inventory purchase,204757,Professional,194Q,0.1%,204.76,204552.24,Purchase Expense
Bank interest paid,303398,Company,194A,10%,30339.8,273058.2,Interest Expense
Legal consultancy fees paid,465115,Individual,194J,10%,46511.5,418603.5,Professional Fees
Goods purchased from vendor,430083,Contractor,194Q,0.1%,430.08,429652.92,Purchase Expense
Vendor supply payment,237796,Firm,194Q,0.1%,237.8,237558.2,Purchase Expense
Bulk inventory purchase,419665,Individual,194Q,0.1%,419.67,419245.33,Purchase Expense
Sales commission payment,54240,Company,194H,5%,2712.0,51528.0,Commission Expense
Interest on unsecured loan,245865,Contractor,194A,10%,24586.5,221278.5,Interest Expense
Agent incentive paid,219383,Professional,194H,5%,10969.15,208413.85,Commission Expense
Office rent paid,445587,Contractor,194I,10%,44558.7,401028.3,Rent Expense
Construction work payment,258882,Professional,194C,1%,2588.82,256293.18,Contractor Expense
Doctor consultation fees paid,281699,Contractor,194J,10%,28169.9,253529.1,Professional Fees
Freight charges paid,391342,Contractor,194C,1%,3913.42,387428.58,Contractor Expense
Transport charges paid,488087,Professional,194C,1%,4880.87,483206.13,Contractor Expense
Labour charges paid,22528,Contractor,194C,1%,225.28,22302.72,Contractor Expense
Brokerage charges paid,171285,Individual,194H,5%,8564.25,162720.75,Commission Expense
Building lease payment,216571,Professional,194I,10%,21657.1,194913.9,Rent Expense
CA fees paid,111789,Contractor,194J,10%,11178.9,100610.1,Professional Fees
Bank interest paid,442808,Individual,194A,10%,44280.8,398527.2,Interest Expense
Interest paid on loan,93223,Firm,194A,10%,9322.3,83900.7,Interest Expense
Building lease payment,454799,Company,194I,10%,45479.9,409319.1,Rent Expense
Finance charges paid,185284,Company,194A,10%,18528.4,166755.6,Interest Expense
Audit fees paid,201159,Individual,194J,10%,20115.9,181043.1,Professional Fees
Interest on unsecured loan,211729,Company,194A,10%,21172.9,190556.1,Interest Expense
Sales commission payment,151272,Individual,194H,5%,7563.6,143708.4,Commission Expense
Goods purchased from vendor,247918,Firm,194Q,0.1%,247.92,247670.08,Purchase Expense
Goods purchased from vendor,178387,Professional,194Q,0.1%,178.39,178208.61,Purchase Expense
Contractor payment made,368471,Company,194C,1%,3684.71,364786.29,Contractor Expense
Purchase of stock items,48954,Company,194Q,0.1%,48.95,48905.05,Purchase Expense
Interest on unsecured loan,224322,Company,194A,10%,22432.2,201889.8,Interest Expense
Purchase of stock items,379644,Firm,194Q,0.1%,379.64,379264.36,Purchase Expense
Legal consultancy fees paid,344389,Professional,194J,10%,34438.9,309950.1,Professional Fees
Audit fees paid,232524,Individual,194J,10%,23252.4,209271.6,Professional Fees
Building lease payment,41585,Professional,194I,10%,4158.5,37426.5,Rent Expense
Purchase of stock items,26785,Contractor,194Q,0.1%,26.79,26758.21,Purchase Expense
Labour charges paid,264592,Professional,194C,1%,2645.92,261946.08,Contractor Expense
Building lease payment,179695,Firm,194I,10%,17969.5,161725.5,Rent Expense
Vendor supply payment,189476,Firm,194Q,0.1%,189.48,189286.52,Purchase Expense
Purchase of stock items,411967,Firm,194Q,0.1%,411.97,411555.03,Purchase Expense
Bank interest paid,430138,Firm,194A,10%,43013.8,387124.2,Interest Expense
Interest payment booked,94530,Contractor,194A,10%,9453.0,85077.0,Interest Expense
Interest paid on loan,212262,Contractor,194A,10%,21226.2,191035.8,Interest Expense
Interest payment booked,414560,Firm,194A,10%,41456.0,373104.0,Interest Expense
Doctor consultation fees paid,227992,Company,194J,10%,22799.2,205192.8,Professional Fees
Referral commission paid,495647,Professional,194H,5%,24782.35,470864.65,Commission Expense
Freight charges paid,245761,Company,194C,1%,2457.61,243303.39,Contractor Expense
Contractor payment made,340025,Company,194C,1%,3400.25,336624.75,Contractor Expense
Contractor payment made,126866,Company,194C,1%,1268.66,125597.34,Contractor Expense
Sales commission payment,217137,Contractor,194H,5%,10856.85,206280.15,Commission Expense
Construction work payment,450289,Firm,194C,1%,4502.89,445786.11,Contractor Expense
Agent incentive paid,77066,Professional,194H,5%,3853.3,73212.7,Commission Expense
Construction work payment,353641,Professional,194C,1%,3536.41,350104.59,Contractor Expense
Doctor consultation fees paid,31257,Firm,194J,10%,3125.7,28131.3,Professional Fees
Vendor supply payment,130169,Company,194Q,0.1%,130.17,130038.83,Purchase Expense
CA fees paid,341572,Company,194J,10%,34157.2,307414.8,Professional Fees
Referral commission paid,135636,Professional,194H,5%,6781.8,128854.2,Commission Expense
Finance charges paid,378507,Company,194A,10%,37850.7,340656.3,Interest Expense
Interest on unsecured loan,307291,Individual,194A,10%,30729.1,276561.9,Interest Expense
Freight charges paid,496927,Company,194C,1%,4969.27,491957.73,Contractor Expense
Agent incentive paid,376004,Professional,194H,5%,18800.2,357203.8,Commission Expense
Agent incentive paid,201517,Company,194H,5%,10075.85,191441.15,Commission Expense
Transport charges paid,181081,Contractor,194C,1%,1810.81,179270.19,Contractor Expense
Construction work payment,43658,Company,194C,1%,436.58,43221.42,Contractor Expense
Professional consultancy charges,466996,Contractor,194J,10%,46699.6,420296.4,Professional Fees
Interest on unsecured loan,460245,Company,194A,10%,46024.5,414220.5,Interest Expense
Commission paid to agent,157049,Contractor,194H,5%,7852.45,149196.55,Commission Expense
Doctor consultation fees paid,138423,Individual,194J,10%,13842.3,124580.7,Professional Fees
Audit fees paid,22647,Firm,194J,10%,2264.7,20382.3,Professional Fees
Office rent paid,248256,Company,194I,10%,24825.6,223430.4,Rent Expense
Sales commission payment,459181,Contractor,194H,5%,22959.05,436221.95,Commission Expense
Bulk inventory purchase,372925,Individual,194Q,0.1%,372.93,372552.07,Purchase Expense
Goods purchased from vendor,461182,Individual,194Q,0.1%,461.18,460720.82,Purchase Expense
Office rent paid,339775,Individual,194I,10%,33977.5,305797.5,Rent Expense
Warehouse rent paid,55399,Contractor,194I,10%,5539.9,49859.1,Rent Expense
Referral commission paid,482647,Company,194H,5%,24132.35,458514.65,Commission Expense
Labour charges paid,378888,Company,194C,1%,3788.88,375099.12,Contractor Expense
Contractor payment made,173148,Individual,194C,1%,1731.48,171416.52,Contractor Expense
Sales commission payment,279802,Professional,194H,5%,13990.1,265811.9,Commission Expense
Audit fees paid,35898,Company,194J,10%,3589.8,32308.2,Professional Fees
Referral commission paid,211216,Contractor,194H,5%,10560.8,200655.2,Commission Expense
Transport charges paid,313889,Individual,194C,1%,3138.89,310750.11,Contractor Expense
Vendor supply payment,274814,Individual,194Q,0.1%,274.81,274539.19,Purchase Expense
Labour charges paid,459677,Company,194C,1%,4596.77,455080.23,Contractor Expense
CA fees paid,9082,Company,194J,10%,908.2,8173.8,Professional Fees
Interest payment booked,470877,Contractor,194A,10%,47087.7,423789.3,Interest Expense
Bulk inventory purchase,30670,Contractor,194Q,0.1%,30.67,30639.33,Purchase Expense
Interest paid on loan,132559,Contractor,194A,10%,13255.9,119303.1,Interest Expense
Contractor payment made,283003,Firm,194C,1%,2830.03,280172.97,Contractor Expense
CA fees paid,236552,Professional,194J,10%,23655.2,212896.8,Professional Fees
Finance charges paid,110203,Contractor,194A,10%,11020.3,99182.7,Interest Expense
Audit fees paid,235074,Company,194J,10%,23507.4,211566.6,Professional Fees
Doctor consultation fees paid,430121,Individual,194J,10%,43012.1,387108.9,Professional Fees
Professional consultancy charges,56755,Firm,194J,10%,5675.5,51079.5,Professional Fees
Warehouse rent paid,170485,Firm,194I,10%,17048.5,153436.5,Rent Expense
Labour charges paid,479290,Company,194C,1%,4792.9,474497.1,Contractor Expense
Contractor payment made,320839,Firm,194C,1%,3208.39,317630.61,Contractor Expense
Bank interest paid,256115,Company,194A,10%,25611.5,230503.5,Interest Expense
Office rent paid,150663,Professional,194I,10%,15066.3,135596.7,Rent Expense
Legal consultancy fees paid,321847,Company,194J,10%,32184.7,289662.3,Professional Fees
Building lease payment,346351,Individual,194I,10%,34635.1,311715.9,Rent Expense
Commission paid to agent,377525,Contractor,194H,5%,18876.25,358648.75,Commission Expense
Purchase of stock items,90281,Company,194Q,0.1%,90.28,90190.72,Purchase Expense
Referral commission paid,488515,Company,194H,5%,24425.75,464089.25,Commission Expense
Bank interest paid,62793,Individual,194A,10%,6279.3,56513.7,Interest Expense
Goods purchased from vendor,38575,Contractor,194Q,0.1%,38.58,38536.42,Purchase Expense
Agent incentive paid,341713,Company,194H,5%,17085.65,324627.35,Commission Expense
Interest payment booked,149496,Company,194A,10%,14949.6,134546.4,Interest Expense
Doctor consultation fees paid,65878,Company,194J,10%,6587.8,59290.2,Professional Fees
Construction work payment,17830,Firm,194C,1%,178.3,17651.7,Contractor Expense
Finance charges paid,498227,Firm,194A,10%,49822.7,448404.3,Interest Expense
Contractor payment made,203922,Contractor,194C,1%,2039.22,201882.78,Contractor Expense
Bank interest paid,296052,Company,194A,10%,29605.2,266446.8,Interest Expense
Referral commission paid,135164,Contractor,194H,5%,6758.2,128405.8,Commission Expense
Transport charges paid,299045,Individual,194C,1%,2990.45,296054.55,Contractor Expense
Doctor consultation fees paid,235206,Company,194J,10%,23520.6,211685.4,Professional Fees
Purchase of stock items,202352,Firm,194Q,0.1%,202.35,202149.65,Purchase Expense
Commission paid to agent,319101,Professional,194H,5%,15955.05,303145.95,Commission Expense
Interest payment booked,96771,Professional,194A,10%,9677.1,87093.9,Interest Expense
Sales commission payment,89124,Individual,194H,5%,4456.2,84667.8,Commission Expense
CA fees paid,21647,Professional,194J,10%,2164.7,19482.3,Professional Fees
Professional consultancy charges,141156,Contractor,194J,10%,14115.6,127040.4,Professional Fees
Contractor payment made,221225,Company,194C,1%,2212.25,219012.75,Contractor Expense
Audit fees paid,326402,Individual,194J,10%,32640.2,293761.8,Professional Fees
Freight charges paid,475881,Firm,194C,1%,4758.81,471122.19,Contractor Expense
Raw material purchase made,386869,Professional,194Q,0.1%,386.87,386482.13,Purchase Expense
Contractor payment made,270873,Contractor,194C,1%,2708.73,268164.27,Contractor Expense
Interest on unsecured loan,92342,Company,194A,10%,9234.2,83107.8,Interest Expense
Referral commission paid,131419,Company,194H,5%,6570.95,124848.05,Commission Expense
Freight charges paid,96386,Firm,194C,1%,963.86,95422.14,Contractor Expense
Interest payment booked,468016,Contractor,194A,10%,46801.6,421214.4,Interest Expense
Freight charges paid,234011,Company,194C,1%,2340.11,231670.89,Contractor Expense
Building lease payment,482106,Individual,194I,10%,48210.6,433895.4,Rent Expense
Warehouse rent paid,288427,Individual,194I,10%,28842.7,259584.3,Rent Expense
Interest payment booked,277680,Firm,194A,10%,27768.0,249912.0,Interest Expense
Referral commission paid,363430,Professional,194H,5%,18171.5,345258.5,Commission Expense
Vendor supply payment,108057,Contractor,194Q,0.1%,108.06,107948.94,Purchase Expense
Bank interest paid,31492,Contractor,194A,10%,3149.2,28342.8,Interest Expense
Bulk inventory purchase,441961,Contractor,194Q,0.1%,441.96,441519.04,Purchase Expense
Commission paid to agent,460196,Professional,194H,5%,23009.8,437186.2,Commission Expense
Commission paid to agent,423973,Company,194H,5%,21198.65,402774.35,Commission Expense
Doctor consultation fees paid,73950,Firm,194J,10%,7395.0,66555.0,Professional Fees
Purchase of stock items,435201,Company,194Q,0.1%,435.2,434765.8,Purchase Expense
Office rent paid,436470,Company,194I,10%,43647.0,392823.0,Rent Expense
Shop rent transferred,188023,Firm,194I,10%,18802.3,169220.7,Rent Expense
Freight charges paid,494118,Individual,194C,1%,4941.18,489176.82,Contractor Expense
Professional consultancy charges,29299,Contractor,194J,10%,2929.9,26369.1,Professional Fees
Sales commission payment,407504,Contractor,194H,5%,20375.2,387128.8,Commission Expense
Property rent paid,427055,Contractor,194I,10%,42705.5,384349.5,Rent Expense
Building lease payment,214234,Individual,194I,10%,21423.4,192810.6,Rent Expense
Commission paid to agent,275987,Individual,194H,5%,13799.35,262187.65,Commission Expense
Interest payment booked,153592,Individual,194A,10%,15359.2,138232.8,Interest Expense
Labour charges paid,240263,Professional,194C,1%,2402.63,237860.37,Contractor Expense
Freight charges paid,145722,Company,194C,1%,1457.22,144264.78,Contractor Expense
Property rent paid,95254,Company,194I,10%,9525.4,85728.6,Rent Expense
Purchase of stock items,414414,Firm,194Q,0.1%,414.41,413999.59,Purchase Expense
Warehouse rent paid,238036,Individual,194I,10%,23803.6,214232.4,Rent Expense
Bank interest paid,340459,Company,194A,10%,34045.9,306413.1,Interest Expense
Labour charges paid,13355,Contractor,194C,1%,133.55,13221.45,Contractor Expense
Sales commission payment,165495,Firm,194H,5%,8274.75,157220.25,Commission Expense
Freight charges paid,452046,Firm,194C,1%,4520.46,447525.54,Contractor Expense
Shop rent transferred,416914,Individual,194I,10%,41691.4,375222.6,Rent Expense
Contractor payment made,428479,Contractor,194C,1%,4284.79,424194.21,Contractor Expense
Finance charges paid,416663,Individual,194A,10%,41666.3,374996.7,Interest Expense
Interest paid on loan,269865,Firm,194A,10%,26986.5,242878.5,Interest Expense
Labour charges paid,269719,Company,194C,1%,2697.19,267021.81,Contractor Expense
Audit fees paid,291243,Professional,194J,10%,29124.3,262118.7,Professional Fees
Agent incentive paid,496726,Professional,194H,5%,24836.3,471889.7,Commission Expense
Brokerage charges paid,407499,Company,194H,5%,20374.95,387124.05,Commission Expense
Vendor supply payment,293618,Professional,194Q,0.1%,293.62,293324.38,Purchase Expense
Building lease payment,55049,Individual,194I,10%,5504.9,49544.1,Rent Expense
CA fees paid,206233,Individual,194J,10%,20623.3,185609.7,Professional Fees
Shop rent transferred,298986,Individual,194I,10%,29898.6,269087.4,Rent Expense
Doctor consultation fees paid,169312,Professional,194J,10%,16931.2,152380.8,Professional Fees
Transport charges paid,306163,Individual,194C,1%,3061.63,303101.37,Contractor Expense
Shop rent transferred,395336,Firm,194I,10%,39533.6,355802.4,Rent Expense
Referral commission paid,471888,Individual,194H,5%,23594.4,448293.6,Commission Expense
Contractor payment made,230172,Firm,194C,1%,2301.72,227870.28,Contractor Expense
Brokerage charges paid,94886,Company,194H,5%,4744.3,90141.7,Commission Expense
Purchase of stock items,187814,Professional,194Q,0.1%,187.81,187626.19,Purchase Expense
Vendor supply payment,486305,Professional,194Q,0.1%,486.31,485818.69,Purchase Expense
Audit fees paid,406567,Individual,194J,10%,40656.7,365910.3,Professional Fees
Finance charges paid,361153,Professional,194A,10%,36115.3,325037.7,Interest Expense
Sales commission payment,317389,Firm,194H,5%,15869.45,301519.55,Commission Expense
Interest paid on loan,217204,Professional,194A,10%,21720.4,195483.6,Interest Expense
Goods purchased from vendor,45006,Individual,194Q,0.1%,45.01,44960.99,Purchase Expense
Property rent paid,119728,Professional,194I,10%,11972.8,107755.2,Rent Expense
Audit fees paid,329042,Professional,194J,10%,32904.2,296137.8,Professional Fees
Raw material purchase made,258896,Professional,194Q,0.1%,258.9,258637.1,Purchase Expense
Bulk inventory purchase,64836,Company,194Q,0.1%,64.84,64771.16,Purchase Expense
Labour charges paid,136761,Contractor,194C,1%,1367.61,135393.39,Contractor Expense
Professional consultancy charges,494487,Company,194J,10%,49448.7,445038.3,Professional Fees
CA fees paid,42821,Company,194J,10%,4282.1,38538.9,Professional Fees
Commission paid to agent,429488,Individual,194H,5%,21474.4,408013.6,Commission Expense
Goods purchased from vendor,49961,Individual,194Q,0.1%,49.96,49911.04,Purchase Expense
Interest on unsecured loan,97198,Individual,194A,10%,9719.8,87478.2,Interest Expense
Agent incentive paid,320949,Company,194H,5%,16047.45,304901.55,Commission Expense
Construction work payment,488022,Contractor,194C,1%,4880.22,483141.78,Contractor Expense
Building lease payment,290239,Professional,194I,10%,29023.9,261215.1,Rent Expense
Agent incentive paid,242786,Professional,194H,5%,12139.3,230646.7,Commission Expense
Agent incentive paid,449331,Professional,194H,5%,22466.55,426864.45,Commission Expense
Audit fees paid,192269,Company,194J,10%,19226.9,173042.1,Professional Fees
Professional consultancy charges,201556,Contractor,194J,10%,20155.6,181400.4,Professional Fees
CA fees paid,141425,Individual,194J,10%,14142.5,127282.5,Professional Fees
Office rent paid,168440,Contractor,194I,10%,16844.0,151596.0,Rent Expense
Building lease payment,391195,Individual,194I,10%,39119.5,352075.5,Rent Expense
Vendor supply payment,397249,Company,194Q,0.1%,397.25,396851.75,Purchase Expense
Warehouse rent paid,366902,Professional,194I,10%,36690.2,330211.8,Rent Expense
Warehouse rent paid,216696,Company,194I,10%,21669.6,195026.4,Rent Expense
Sales commission payment,25021,Contractor,194H,5%,1251.05,23769.95,Commission Expense
Legal consultancy fees paid,248470,Individual,194J,10%,24847.0,223623.0,Professional Fees
Professional consultancy charges,58959,Professional,194J,10%,5895.9,53063.1,Professional Fees
Raw material purchase made,237033,Contractor,194Q,0.1%,237.03,236795.97,Purchase Expense
Interest paid on loan,62836,Contractor,194A,10%,6283.6,56552.4,Interest Expense
Vendor supply payment,396892,Contractor,194Q,0.1%,396.89,396495.11,Purchase Expense
Building lease payment,204133,Firm,194I,10%,20413.3,183719.7,Rent Expense
Purchase of stock items,252870,Firm,194Q,0.1%,252.87,252617.13,Purchase Expense
Freight charges paid,315835,Individual,194C,1%,3158.35,312676.65,Contractor Expense
Purchase of stock items,317375,Contractor,194Q,0.1%,317.38,317057.62,Purchase Expense
Purchase of stock items,478782,Contractor,194Q,0.1%,478.78,478303.22,Purchase Expense
Agent incentive paid,111924,Contractor,194H,5%,5596.2,106327.8,Commission Expense
Referral commission paid,23902,Contractor,194H,5%,1195.1,22706.9,Commission Expense
Contractor payment made,147141,Individual,194C,1%,1471.41,145669.59,Contractor Expense
Commission paid to agent,35909,Company,194H,5%,1795.45,34113.55,Commission Expense
Professional consultancy charges,356846,Firm,194J,10%,35684.6,321161.4,Professional Fees
Transport charges paid,223620,Company,194C,1%,2236.2,221383.8,Contractor Expense
Property rent paid,327829,Company,194I,10%,32782.9,295046.1,Rent Expense
Purchase of stock items,455197,Company,194Q,0.1%,455.2,454741.8,Purchase Expense
Interest payment booked,77952,Company,194A,10%,7795.2,70156.8,Interest Expense
Commission paid to agent,194635,Contractor,194H,5%,9731.75,184903.25,Commission Expense
Interest on unsecured loan,359931,Company,194A,10%,35993.1,323937.9,Interest Expense
Warehouse rent paid,216451,Contractor,194I,10%,21645.1,194805.9,Rent Expense
Doctor consultation fees paid,34472,Firm,194J,10%,3447.2,31024.8,Professional Fees
CA fees paid,215934,Individual,194J,10%,21593.4,194340.6,Professional Fees
Construction work payment,61029,Individual,194C,1%,610.29,60418.71,Contractor Expense
CA fees paid,233409,Individual,194J,10%,23340.9,210068.1,Professional Fees
Construction work payment,297634,Contractor,194C,1%,2976.34,294657.66,Contractor Expense
Building lease payment,139062,Contractor,194I,10%,13906.2,125155.8,Rent Expense
Bulk inventory purchase,435214,Company,194Q,0.1%,435.21,434778.79,Purchase Expense
Finance charges paid,460263,Company,194A,10%,46026.3,414236.7,Interest Expense
Shop rent transferred,96790,Individual,194I,10%,9679.0,87111.0,Rent Expense
Agent incentive paid,499156,Company,194H,5%,24957.8,474198.2,Commission Expense
Referral commission paid,204651,Contractor,194H,5%,10232.55,194418.45,Commission Expense
Audit fees paid,167624,Company,194J,10%,16762.4,150861.6,Professional Fees
Freight charges paid,245144,Company,194C,1%,2451.44,242692.56,Contractor Expense
Property rent paid,194027,Company,194I,10%,19402.7,174624.3,Rent Expense
Vendor supply payment,472042,Individual,194Q,0.1%,472.04,471569.96,Purchase Expense
Legal consultancy fees paid,452517,Firm,194J,10%,45251.7,407265.3,Professional Fees
Raw material purchase made,315452,Company,194Q,0.1%,315.45,315136.55,Purchase Expense
Professional consultancy charges,51228,Company,194J,10%,5122.8,46105.2,Professional Fees
Sales commission payment,275166,Individual,194H,5%,13758.3,261407.7,Commission Expense
Sales commission payment,254764,Contractor,194H,5%,12738.2,242025.8,Commission Expense
Professional consultancy charges,436955,Individual,194J,10%,43695.5,393259.5,Professional Fees
Interest payment booked,141594,Company,194A,10%,14159.4,127434.6,Interest Expense
Legal consultancy fees paid,325337,Contractor,194J,10%,32533.7,292803.3,Professional Fees
Contractor payment made,25912,Contractor,194C,1%,259.12,25652.88,Contractor Expense
Referral commission paid,171620,Firm,194H,5%,8581.0,163039.0,Commission Expense
Professional consultancy charges,206259,Company,194J,10%,20625.9,185633.1,Professional Fees
Audit fees paid,427041,Firm,194J,10%,42704.1,384336.9,Professional Fees
Shop rent transferred,400149,Individual,194I,10%,40014.9,360134.1,Rent Expense
Commission paid to agent,228781,Individual,194H,5%,11439.05,217341.95,Commission Expense
Transport charges paid,340035,Professional,194C,1%,3400.35,336634.65,Contractor Expense
Purchase of stock items,172276,Company,194Q,0.1%,172.28,172103.72,Purchase Expense
Professional consultancy charges,48630,Contractor,194J,10%,4863.0,43767.0,Professional Fees
Doctor consultation fees paid,141729,Professional,194J,10%,14172.9,127556.1,Professional Fees
Purchase of stock items,486663,Contractor,194Q,0.1%,486.66,486176.34,Purchase Expense
Doctor consultation fees paid,40182,Company,194J,10%,4018.2,36163.8,Professional Fees
Goods purchased from vendor,50491,Company,194Q,0.1%,50.49,50440.51,Purchase Expense
Labour charges paid,466079,Individual,194C,1%,4660.79,461418.21,Contractor Expense
Raw material purchase made,421850,Contractor,194Q,0.1%,421.85,421428.15,Purchase Expense
Construction work payment,303801,Firm,194C,1%,3038.01,300762.99,Contractor Expense
Transport charges paid,63984,Individual,194C,1%,639.84,63344.16,Contractor Expense
Freight charges paid,174056,Company,194C,1%,1740.56,172315.44,Contractor Expense
Raw material purchase made,463863,Contractor,194Q,0.1%,463.86,463399.14,Purchase Expense
Commission paid to agent,363571,Professional,194H,5%,18178.55,345392.45,Commission Expense
Labour charges paid,205405,Individual,194C,1%,2054.05,203350.95,Contractor Expense
CA fees paid,330498,Firm,194J,10%,33049.8,297448.2,Professional Fees
Freight charges paid,447762,Professional,194C,1%,4477.62,443284.38,Contractor Expense
Referral commission paid,382058,Contractor,194H,5%,19102.9,362955.1,Commission Expense
CA fees paid,380123,Company,194J,10%,38012.3,342110.7,Professional Fees
Interest paid on loan,95370,Professional,194A,10%,9537.0,85833.0,Interest Expense
Building lease payment,8942,Professional,194I,10%,894.2,8047.8,Rent Expense
Freight charges paid,370922,Individual,194C,1%,3709.22,367212.78,Contractor Expense
Warehouse rent paid,149911,Company,194I,10%,14991.1,134919.9,Rent Expense
Property rent paid,244866,Company,194I,10%,24486.6,220379.4,Rent Expense
Legal consultancy fees paid,370462,Contractor,194J,10%,37046.2,333415.8,Professional Fees
Warehouse rent paid,369714,Contractor,194I,10%,36971.4,332742.6,Rent Expense
Bank interest paid,225413,Professional,194A,10%,22541.3,202871.7,Interest Expense
Building lease payment,366886,Company,194I,10%,36688.6,330197.4,Rent Expense
Audit fees paid,250416,Firm,194J,10%,25041.6,225374.4,Professional Fees
Contractor payment made,455851,Individual,194C,1%,4558.51,451292.49,Contractor Expense
Raw material purchase made,234184,Contractor,194Q,0.1%,234.18,233949.82,Purchase Expense
Transport charges paid,482004,Contractor,194C,1%,4820.04,477183.96,Contractor Expense
Bank interest paid,138561,Contractor,194A,10%,13856.1,124704.9,Interest Expense
Finance charges paid,200428,Individual,194A,10%,20042.8,180385.2,Interest Expense
CA fees paid,68247,Individual,194J,10%,6824.7,61422.3,Professional Fees
Property rent paid,218641,Professional,194I,10%,21864.1,196776.9,Rent Expense
Vendor supply payment,130338,Professional,194Q,0.1%,130.34,130207.66,Purchase Expense
Brokerage charges paid,130219,Contractor,194H,5%,6510.95,123708.05,Commission Expense
Transport charges paid,275463,Contractor,194C,1%,2754.63,272708.37,Contractor Expense
Interest paid on loan,134003,Firm,194A,10%,13400.3,120602.7,Interest Expense
Labour charges paid,106542,Contractor,194C,1%,1065.42,105476.58,Contractor Expense
Property rent paid,344459,Contractor,194I,10%,34445.9,310013.1,Rent Expense
Office rent paid,308213,Company,194I,10%,30821.3,277391.7,Rent Expense
Shop rent transferred,362487,Contractor,194I,10%,36248.7,326238.3,Rent Expense
Vendor supply payment,100383,Company,194Q,0.1%,100.38,100282.62,Purchase Expense
Professional consultancy charges,306850,Company,194J,10%,30685.0,276165.0,Professional Fees
Agent incentive paid,182475,Professional,194H,5%,9123.75,173351.25,Commission Expense
Finance charges paid,67548,Individual,194A,10%,6754.8,60793.2,Interest Expense
Goods purchased from vendor,359064,Contractor,194Q,0.1%,359.06,358704.94,Purchase Expense
Goods purchased from vendor,203447,Professional,194Q,0.1%,203.45,203243.55,Purchase Expense
Interest paid on loan,89746,Firm,194A,10%,8974.6,80771.4,Interest Expense
Shop rent transferred,446711,Contractor,194I,10%,44671.1,402039.9,Rent Expense
Contractor payment made,351080,Professional,194C,1%,3510.8,347569.2,Contractor Expense
Doctor consultation fees paid,57188,Contractor,194J,10%,5718.8,51469.2,Professional Fees
Raw material purchase made,296125,Company,194Q,0.1%,296.12,295828.88,Purchase Expense
Referral commission paid,251544,Company,194H,5%,12577.2,238966.8,Commission Expense
Vendor supply payment,96498,Professional,194Q,0.1%,96.5,96401.5,Purchase Expense
Interest paid on loan,360924,Contractor,194A,10%,36092.4,324831.6,Interest Expense
Vendor supply payment,98938,Company,194Q,0.1%,98.94,98839.06,Purchase Expense
Audit fees paid,10481,Individual,194J,10%,1048.1,9432.9,Professional Fees
Referral commission paid,119313,Contractor,194H,5%,5965.65,113347.35,Commission Expense
Audit fees paid,179694,Firm,194J,10%,17969.4,161724.6,Professional Fees
Interest payment booked,442407,Professional,194A,10%,44240.7,398166.3,Interest Expense
Legal consultancy fees paid,76139,Firm,194J,10%,7613.9,68525.1,Professional Fees
