Book_Description,Bank_Description,Book_Amount,Bank_Amount,Book_Date,Bank_Date,Book_Reference,Bank_Reference,Book_Cheque,Bank_Cheque,Status
Bank Charges,Bank Charges,79316,79316,2026-06-28,2026-06-28,REF12208,REF12208,CHQ5637,CHQ5637,Duplicate
Salary Payment,Salary Payment,37267,37267,2026-06-08,2026-06-08,REF69126,REF69126,CHQ1156,CHQ1156,Duplicate
Office Rent,Office Rent,56282,56282,2026-06-29,2026-06-29,REF49004,REF49004,CHQ7727,CHQ7727,Matched
Office Rent,Unknown Transaction,16974,33948,2026-06-28,2026-06-28,REF12621,REF12621,CHQ7382,CHQ7382,Suspicious
GST Payment,GST Payment,11077,11077,2026-06-04,2026-06-04,REF94198,REF94198,CHQ4560,CHQ4560,Matched
Software Subscription,Not Available,55174,0,2026-06-13,2026-06-13,REF35859,NA,CHQ2184,NA,Missing Entry
Vendor Payment,Not Available,64499,0,2026-06-03,2026-06-03,REF37660,NA,CHQ4879,NA,Missing Entry
Software Subscription,Unknown Transaction,86202,258606,2026-07-01,2026-07-01,REF34032,REF34032,CHQ3617,CHQ3617,Suspicious
Salary Payment,Salary Payment,13138,13138,2026-06-04,2026-06-04,REF74171,REF74171,CHQ7026,CHQ7026,Duplicate
Professional Fees,Not Available,26233,0,2026-06-07,2026-06-07,REF97234,NA,CHQ1744,NA,Missing Entry
Customer Receipt,Customer Receipt,1289,1289,2026-06-18,2026-06-18,REF62053,REF62053,CHQ5030,CHQ5030,Matched
GST Payment,Not Available,91808,0,2026-06-14,2026-06-14,REF52820,NA,CHQ1731,NA,Missing Entry
Software Subscription,Software Subscription,99302,-99302,2026-06-22,2026-06-22,REF24069,REF24069,CHQ7673,CHQ7673,Reversal Entry
Office Rent,Office Rent,3599,-3599,2026-06-24,2026-06-24,REF23547,REF23547,CHQ9282,CHQ9282,Reversal Entry
Office Rent,Office Rent,24822,24821,2026-06-25,2026-06-26,REF76772,REF76772,CHQ5592,CHQ5592,Fuzzy Matched
Electricity Bill,Electricity Bill,75105,75105,2026-06-13,2026-06-13,REF33877,REF33877,CHQ3779,CHQ3779,Duplicate
Salary Payment,Salary Payment,33832,33827,2026-06-05,2026-06-07,REF83540,REF83540,CHQ7876,CHQ7876,Fuzzy Matched
Salary Payment,Salary Payment,39341,39341,2026-06-27,2026-06-27,REF54847,REF54847,CHQ1005,CHQ1005,Matched
Bank Charges,Bank Charges,35729,-35729,2026-06-25,2026-06-25,REF74965,REF74965,CHQ7800,CHQ7800,Reversal Entry
Customer Receipt,Customer Receipt,31085,31085,2026-06-14,2026-06-14,REF54603,REF54603,CHQ1750,CHQ1750,Duplicate
GST Payment,Not Available,69058,0,2026-06-14,2026-06-14,REF65724,NA,CHQ4108,NA,Missing Entry
Customer Receipt,Not Available,74650,0,2026-06-20,2026-06-20,REF60847,NA,CHQ4229,NA,Missing Entry
Vendor Payment,Unknown Transaction,65687,262748,2026-06-17,2026-06-17,REF63858,REF63858,CHQ4515,CHQ4515,Suspicious
Office Rent,Office Rent,58982,-58982,2026-07-01,2026-07-01,REF65533,REF65533,CHQ1466,CHQ1466,Reversal Entry
Office Rent,Office Rent,41192,41192,2026-06-24,2026-06-24,REF28418,REF28418,CHQ7586,CHQ7586,Duplicate
Vendor Payment,Unknown Transaction,16391,65564,2026-06-11,2026-06-11,REF78907,REF78907,CHQ7674,CHQ7674,Suspicious
Office Rent,Office Rent,97015,97015,2026-06-26,2026-06-26,REF68409,REF68409,CHQ7177,CHQ7177,Duplicate
GST Payment,Unknown Transaction,29548,88644,2026-06-02,2026-06-02,REF71941,REF71941,CHQ5633,CHQ5633,Suspicious
Professional Fees,Unknown Transaction,19951,99755,2026-06-08,2026-06-08,REF16312,REF16312,CHQ4732,CHQ4732,Suspicious
Office Rent,Unknown Transaction,36307,108921,2026-06-30,2026-06-30,REF28789,REF28789,CHQ8810,CHQ8810,Suspicious
Vendor Payment,Vendor Payment,76261,-76261,2026-06-12,2026-06-12,REF99476,REF99476,CHQ4503,CHQ4503,Reversal Entry
GST Payment,GST Payment,10855,10855,2026-06-26,2026-06-26,REF32098,REF32098,CHQ6783,CHQ6783,Matched
Bank Charges,Bank Charges,36068,36068,2026-06-05,2026-06-05,REF77982,REF77982,CHQ7247,CHQ7247,Matched
Vendor Payment,Not Available,24103,0,2026-06-29,2026-06-29,REF30068,NA,CHQ2090,NA,Missing Entry
Electricity Bill,Electricity Bill,5097,5097,2026-06-10,2026-06-10,REF21969,REF21969,CHQ9167,CHQ9167,Matched
Fuel Expense,Fuel Expense,5332,5332,2026-06-09,2026-06-09,REF12850,REF12850,CHQ6714,CHQ6714,Duplicate
Vendor Payment,Not Available,58741,0,2026-06-22,2026-06-22,REF72952,NA,CHQ9264,NA,Missing Entry
Professional Fees,Professional Fees,18825,18825,2026-06-01,2026-06-01,REF67301,REF67301,CHQ6819,CHQ6819,Duplicate
Bank Charges,Bank Charges,66342,66342,2026-06-18,2026-06-18,REF99779,REF99779,CHQ8456,CHQ8456,Matched
Salary Payment,Salary Payment,30006,-30006,2026-06-15,2026-06-15,REF97999,REF97999,CHQ9231,CHQ9231,Reversal Entry
Customer Receipt,Customer Receipt,60828,60818,2026-06-30,2026-07-01,REF56756,REF56756,CHQ5264,CHQ5264,Fuzzy Matched
Salary Payment,Unknown Transaction,98147,196294,2026-06-01,2026-06-01,REF62193,REF62193,CHQ2810,CHQ2810,Suspicious
GST Payment,GST Payment,88691,88683,2026-06-03,2026-06-04,REF33276,REF33276,CHQ1516,CHQ1516,Fuzzy Matched
Software Subscription,Software Subscription,2363,2363,2026-06-25,2026-06-25,REF14615,REF14615,CHQ9454,CHQ9454,Duplicate
Electricity Bill,Not Available,80281,0,2026-06-21,2026-06-21,REF79405,NA,CHQ4115,NA,Missing Entry
Software Subscription,Software Subscription,35427,35420,2026-06-27,2026-06-30,REF80331,REF80331,CHQ9306,CHQ9306,Fuzzy Matched
Software Subscription,Software Subscription,88308,88308,2026-06-22,2026-06-22,REF33811,REF33811,CHQ4262,CHQ4262,Duplicate
GST Payment,GST Payment,1202,1208,2026-06-03,2026-06-04,REF42029,REF42029,CHQ6508,CHQ6508,Fuzzy Matched
Electricity Bill,Not Available,61748,0,2026-06-21,2026-06-21,REF35907,NA,CHQ4795,NA,Missing Entry
Bank Charges,Unknown Transaction,71071,355355,2026-06-30,2026-06-30,REF52494,REF52494,CHQ1380,CHQ1380,Suspicious
Vendor Payment,Not Available,71747,0,2026-06-14,2026-06-14,REF55275,NA,CHQ4623,NA,Missing Entry
Electricity Bill,Electricity Bill,21058,21064,2026-06-15,2026-06-16,REF45105,REF45105,CHQ1041,CHQ1041,Fuzzy Matched
Software Subscription,Not Available,31262,0,2026-06-18,2026-06-18,REF11040,NA,CHQ1969,NA,Missing Entry
Professional Fees,Unknown Transaction,73448,146896,2026-06-10,2026-06-10,REF28059,REF28059,CHQ1536,CHQ1536,Suspicious
Customer Receipt,Customer Receipt,45596,45596,2026-06-09,2026-06-09,REF64436,REF64436,CHQ2751,CHQ2751,Matched
Customer Receipt,Customer Receipt,20770,20771,2026-06-19,2026-06-22,REF20254,REF20254,CHQ1942,CHQ1942,Fuzzy Matched
GST Payment,Unknown Transaction,62246,311230,2026-06-01,2026-06-01,REF45251,REF45251,CHQ7656,CHQ7656,Suspicious
Fuel Expense,Fuel Expense,89732,89732,2026-06-28,2026-06-28,REF25977,REF25977,CHQ6734,CHQ6734,Duplicate
Electricity Bill,Electricity Bill,38041,38041,2026-06-08,2026-06-08,REF31905,REF31905,CHQ2542,CHQ2542,Duplicate
Software Subscription,Software Subscription,82499,82499,2026-06-17,2026-06-17,REF41819,REF41819,CHQ3693,CHQ3693,Duplicate
GST Payment,GST Payment,81324,81324,2026-06-14,2026-06-14,REF21021,REF21021,CHQ2716,CHQ2716,Duplicate
GST Payment,Unknown Transaction,71831,359155,2026-06-20,2026-06-20,REF39893,REF39893,CHQ4197,CHQ4197,Suspicious
Electricity Bill,Electricity Bill,16712,16712,2026-06-06,2026-06-06,REF22882,REF22882,CHQ4329,CHQ4329,Matched
Office Rent,Unknown Transaction,27369,136845,2026-06-19,2026-06-19,REF51156,REF51156,CHQ8494,CHQ8494,Suspicious
Fuel Expense,Fuel Expense,99847,-99847,2026-06-30,2026-06-30,REF49578,REF49578,CHQ4653,CHQ4653,Reversal Entry
Vendor Payment,Vendor Payment,96762,96762,2026-06-29,2026-06-29,REF24526,REF24526,CHQ9961,CHQ9961,Matched
Professional Fees,Professional Fees,23056,-23056,2026-06-08,2026-06-08,REF50884,REF50884,CHQ7958,CHQ7958,Reversal Entry
GST Payment,Unknown Transaction,58182,290910,2026-06-04,2026-06-04,REF22035,REF22035,CHQ3872,CHQ3872,Suspicious
Customer Receipt,Unknown Transaction,63305,126610,2026-06-04,2026-06-04,REF28008,REF28008,CHQ5666,CHQ5666,Suspicious
Fuel Expense,Not Available,40141,0,2026-06-27,2026-06-27,REF25098,NA,CHQ3878,NA,Missing Entry
Office Rent,Not Available,63230,0,2026-06-01,2026-06-01,REF43826,NA,CHQ1347,NA,Missing Entry
Customer Receipt,Customer Receipt,74004,74004,2026-06-15,2026-06-15,REF11680,REF11680,CHQ7000,CHQ7000,Duplicate
Professional Fees,Professional Fees,47752,47752,2026-06-19,2026-06-19,REF83777,REF83777,CHQ9851,CHQ9851,Matched
Professional Fees,Professional Fees,94697,94707,2026-06-21,2026-06-24,REF60147,REF60147,CHQ3569,CHQ3569,Fuzzy Matched
Customer Receipt,Customer Receipt,5877,5868,2026-06-23,2026-06-24,REF58187,REF58187,CHQ7364,CHQ7364,Fuzzy Matched
GST Payment,Unknown Transaction,7632,22896,2026-06-08,2026-06-08,REF17602,REF17602,CHQ2516,CHQ2516,Suspicious
Vendor Payment,Not Available,31497,0,2026-06-29,2026-06-29,REF50579,NA,CHQ2367,NA,Missing Entry
Electricity Bill,Unknown Transaction,11277,22554,2026-06-20,2026-06-20,REF94034,REF94034,CHQ4034,CHQ4034,Suspicious
Salary Payment,Salary Payment,58581,58581,2026-06-28,2026-06-28,REF66011,REF66011,CHQ8486,CHQ8486,Duplicate
Customer Receipt,Not Available,6648,0,2026-06-07,2026-06-07,REF24801,NA,CHQ6851,NA,Missing Entry
Software Subscription,Software Subscription,90348,90348,2026-06-15,2026-06-15,REF73172,REF73172,CHQ1584,CHQ1584,Duplicate
Salary Payment,Unknown Transaction,23610,47220,2026-06-24,2026-06-24,REF47265,REF47265,CHQ1459,CHQ1459,Suspicious
Electricity Bill,Electricity Bill,55128,55128,2026-06-29,2026-06-29,REF43240,REF43240,CHQ2578,CHQ2578,Matched
Software Subscription,Unknown Transaction,72489,362445,2026-06-26,2026-06-26,REF60568,REF60568,CHQ2433,CHQ2433,Suspicious
Bank Charges,Unknown Transaction,81287,243861,2026-06-08,2026-06-08,REF87935,REF87935,CHQ6666,CHQ6666,Suspicious
Salary Payment,Salary Payment,8759,-8759,2026-06-09,2026-06-09,REF48430,REF48430,CHQ2096,CHQ2096,Reversal Entry
Customer Receipt,Customer Receipt,12220,12215,2026-06-03,2026-06-04,REF31363,REF31363,CHQ1497,CHQ1497,Fuzzy Matched
Salary Payment,Not Available,89932,0,2026-06-04,2026-06-04,REF99258,NA,CHQ2869,NA,Missing Entry
GST Payment,GST Payment,78342,78342,2026-06-27,2026-06-27,REF83749,REF83749,CHQ6973,CHQ6973,Matched
Professional Fees,Professional Fees,45027,45027,2026-06-22,2026-06-22,REF46309,REF46309,CHQ1002,CHQ1002,Matched
Fuel Expense,Fuel Expense,79303,79309,2026-07-01,2026-07-04,REF14520,REF14520,CHQ9946,CHQ9946,Fuzzy Matched
Salary Payment,Salary Payment,75326,75323,2026-07-01,2026-07-03,REF77736,REF77736,CHQ8774,CHQ8774,Fuzzy Matched
Customer Receipt,Customer Receipt,39196,-39196,2026-06-23,2026-06-23,REF52231,REF52231,CHQ4956,CHQ4956,Reversal Entry
Office Rent,Unknown Transaction,63329,253316,2026-06-11,2026-06-11,REF93083,REF93083,CHQ2146,CHQ2146,Suspicious
GST Payment,Not Available,72203,0,2026-06-02,2026-06-02,REF69828,NA,CHQ7337,NA,Missing Entry
Electricity Bill,Not Available,14958,0,2026-06-21,2026-06-21,REF84221,NA,CHQ9711,NA,Missing Entry
GST Payment,GST Payment,36840,36840,2026-06-06,2026-06-06,REF70307,REF70307,CHQ3411,CHQ3411,Matched
Bank Charges,Not Available,84616,0,2026-06-18,2026-06-18,REF51582,NA,CHQ6443,NA,Missing Entry
Bank Charges,Unknown Transaction,71777,358885,2026-06-07,2026-06-07,REF88662,REF88662,CHQ9170,CHQ9170,Suspicious
Vendor Payment,Vendor Payment,60329,60329,2026-06-30,2026-06-30,REF32248,REF32248,CHQ6674,CHQ6674,Duplicate
Software Subscription,Software Subscription,76876,-76876,2026-06-26,2026-06-26,REF54884,REF54884,CHQ6683,CHQ6683,Reversal Entry
Vendor Payment,Not Available,51841,0,2026-06-13,2026-06-13,REF60647,NA,CHQ1447,NA,Missing Entry
Office Rent,Not Available,25343,0,2026-06-29,2026-06-29,REF80852,NA,CHQ6690,NA,Missing Entry
GST Payment,GST Payment,10930,10930,2026-06-06,2026-06-06,REF91737,REF91737,CHQ1809,CHQ1809,Duplicate
Professional Fees,Professional Fees,13331,-13331,2026-06-13,2026-06-13,REF21478,REF21478,CHQ2402,CHQ2402,Reversal Entry
Fuel Expense,Fuel Expense,80076,80074,2026-06-08,2026-06-11,REF56580,REF56580,CHQ1343,CHQ1343,Fuzzy Matched
Bank Charges,Bank Charges,29083,29083,2026-06-21,2026-06-21,REF81372,REF81372,CHQ7657,CHQ7657,Duplicate
GST Payment,Unknown Transaction,26572,53144,2026-06-26,2026-06-26,REF83617,REF83617,CHQ7438,CHQ7438,Suspicious
Salary Payment,Salary Payment,29674,29674,2026-06-03,2026-06-03,REF25276,REF25276,CHQ2562,CHQ2562,Duplicate
Customer Receipt,Customer Receipt,39668,39668,2026-06-12,2026-06-12,REF74557,REF74557,CHQ3639,CHQ3639,Matched
Fuel Expense,Not Available,85242,0,2026-06-14,2026-06-14,REF88083,NA,CHQ5117,NA,Missing Entry
Fuel Expense,Not Available,79685,0,2026-07-01,2026-07-01,REF94054,NA,CHQ3449,NA,Missing Entry
Bank Charges,Not Available,68569,0,2026-06-03,2026-06-03,REF61853,NA,CHQ8844,NA,Missing Entry
Professional Fees,Unknown Transaction,65129,130258,2026-06-21,2026-06-21,REF38252,REF38252,CHQ4291,CHQ4291,Suspicious
Professional Fees,Professional Fees,38639,-38639,2026-06-07,2026-06-07,REF61139,REF61139,CHQ5828,CHQ5828,Reversal Entry
Salary Payment,Salary Payment,2143,2134,2026-06-01,2026-06-02,REF29766,REF29766,CHQ8979,CHQ8979,Fuzzy Matched
Customer Receipt,Unknown Transaction,85019,425095,2026-06-06,2026-06-06,REF35492,REF35492,CHQ8098,CHQ8098,Suspicious
Electricity Bill,Electricity Bill,73470,73470,2026-06-27,2026-06-27,REF96768,REF96768,CHQ5468,CHQ5468,Duplicate
Bank Charges,Bank Charges,64222,-64222,2026-07-01,2026-07-01,REF38336,REF38336,CHQ3270,CHQ3270,Reversal Entry
Customer Receipt,Customer Receipt,99092,99092,2026-06-07,2026-06-07,REF50464,REF50464,CHQ8995,CHQ8995,Duplicate
Office Rent,Office Rent,53698,53689,2026-06-17,2026-06-19,REF37268,REF37268,CHQ9897,CHQ9897,Fuzzy Matched
Salary Payment,Unknown Transaction,36267,108801,2026-06-17,2026-06-17,REF11347,REF11347,CHQ5358,CHQ5358,Suspicious
Professional Fees,Professional Fees,27419,27419,2026-06-28,2026-06-28,REF87467,REF87467,CHQ6169,CHQ6169,Matched
GST Payment,GST Payment,64156,64147,2026-06-04,2026-06-05,REF58646,REF58646,CHQ6076,CHQ6076,Fuzzy Matched
Professional Fees,Professional Fees,10184,10184,2026-06-16,2026-06-16,REF96120,REF96120,CHQ1851,CHQ1851,Matched
Electricity Bill,Electricity Bill,67383,67383,2026-06-16,2026-06-16,REF82771,REF82771,CHQ4589,CHQ4589,Duplicate
Vendor Payment,Not Available,40110,0,2026-06-22,2026-06-22,REF20394,NA,CHQ7091,NA,Missing Entry
GST Payment,Not Available,49059,0,2026-06-03,2026-06-03,REF80250,NA,CHQ9407,NA,Missing Entry
Salary Payment,Salary Payment,50782,-50782,2026-06-02,2026-06-02,REF41658,REF41658,CHQ1406,CHQ1406,Reversal Entry
Fuel Expense,Fuel Expense,99497,99497,2026-06-17,2026-06-17,REF77131,REF77131,CHQ9959,CHQ9959,Duplicate
Bank Charges,Bank Charges,21877,21877,2026-06-22,2026-06-22,REF10850,REF10850,CHQ4246,CHQ4246,Matched
Fuel Expense,Unknown Transaction,33835,67670,2026-06-20,2026-06-20,REF13254,REF13254,CHQ7092,CHQ7092,Suspicious
Fuel Expense,Fuel Expense,82714,-82714,2026-06-06,2026-06-06,REF46798,REF46798,CHQ3037,CHQ3037,Reversal Entry
Customer Receipt,Not Available,37048,0,2026-06-01,2026-06-01,REF71165,NA,CHQ2070,NA,Missing Entry
GST Payment,Unknown Transaction,59194,236776,2026-06-11,2026-06-11,REF47860,REF47860,CHQ8149,CHQ8149,Suspicious
Bank Charges,Not Available,41779,0,2026-06-26,2026-06-26,REF96092,NA,CHQ9160,NA,Missing Entry
Professional Fees,Unknown Transaction,34773,139092,2026-06-16,2026-06-16,REF38655,REF38655,CHQ3334,CHQ3334,Suspicious
Vendor Payment,Unknown Transaction,61405,184215,2026-06-08,2026-06-08,REF57836,REF57836,CHQ9322,CHQ9322,Suspicious
Bank Charges,Bank Charges,86264,86259,2026-06-06,2026-06-08,REF27839,REF27839,CHQ1940,CHQ1940,Fuzzy Matched
Vendor Payment,Unknown Transaction,38272,114816,2026-06-21,2026-06-21,REF56114,REF56114,CHQ9816,CHQ9816,Suspicious
Bank Charges,Unknown Transaction,39815,119445,2026-06-16,2026-06-16,REF91461,REF91461,CHQ9132,CHQ9132,Suspicious
Salary Payment,Salary Payment,73404,73404,2026-06-12,2026-06-12,REF95025,REF95025,CHQ5630,CHQ5630,Matched
Vendor Payment,Unknown Transaction,68875,275500,2026-06-20,2026-06-20,REF69792,REF69792,CHQ3853,CHQ3853,Suspicious
Office Rent,Unknown Transaction,55596,166788,2026-06-02,2026-06-02,REF59856,REF59856,CHQ5569,CHQ5569,Suspicious
Customer Receipt,Unknown Transaction,29616,59232,2026-06-06,2026-06-06,REF95610,REF95610,CHQ7888,CHQ7888,Suspicious
Bank Charges,Not Available,32190,0,2026-06-18,2026-06-18,REF66394,NA,CHQ5927,NA,Missing Entry
Professional Fees,Professional Fees,46382,46382,2026-06-28,2026-06-28,REF19818,REF19818,CHQ2506,CHQ2506,Matched
GST Payment,GST Payment,56738,-56738,2026-06-01,2026-06-01,REF17485,REF17485,CHQ4476,CHQ4476,Reversal Entry
GST Payment,Not Available,41561,0,2026-06-11,2026-06-11,REF39554,NA,CHQ5019,NA,Missing Entry
Office Rent,Office Rent,82739,82739,2026-06-15,2026-06-15,REF57647,REF57647,CHQ5266,CHQ5266,Duplicate
Software Subscription,Not Available,96117,0,2026-06-24,2026-06-24,REF89055,NA,CHQ7453,NA,Missing Entry
Professional Fees,Professional Fees,71897,71897,2026-06-26,2026-06-26,REF31424,REF31424,CHQ4026,CHQ4026,Duplicate
Office Rent,Office Rent,85085,85091,2026-06-03,2026-06-04,REF13361,REF13361,CHQ6528,CHQ6528,Fuzzy Matched
Customer Receipt,Customer Receipt,13954,13951,2026-06-21,2026-06-23,REF35025,REF35025,CHQ5087,CHQ5087,Fuzzy Matched
Office Rent,Office Rent,24390,24390,2026-06-21,2026-06-21,REF51024,REF51024,CHQ2517,CHQ2517,Matched
Vendor Payment,Unknown Transaction,72636,363180,2026-06-12,2026-06-12,REF87053,REF87053,CHQ4322,CHQ4322,Suspicious
Bank Charges,Bank Charges,10865,-10865,2026-07-01,2026-07-01,REF24884,REF24884,CHQ4389,CHQ4389,Reversal Entry
Professional Fees,Professional Fees,91461,91461,2026-06-15,2026-06-15,REF70649,REF70649,CHQ5504,CHQ5504,Matched
Professional Fees,Professional Fees,29152,29151,2026-06-17,2026-06-18,REF79686,REF79686,CHQ1582,CHQ1582,Fuzzy Matched
Software Subscription,Software Subscription,3258,3258,2026-06-20,2026-06-20,REF32144,REF32144,CHQ1059,CHQ1059,Matched
Professional Fees,Unknown Transaction,95280,381120,2026-06-29,2026-06-29,REF44827,REF44827,CHQ1266,CHQ1266,Suspicious
Fuel Expense,Fuel Expense,77476,77473,2026-06-24,2026-06-25,REF89853,REF89853,CHQ9407,CHQ9407,Fuzzy Matched
Vendor Payment,Not Available,91282,0,2026-06-19,2026-06-19,REF83430,NA,CHQ5382,NA,Missing Entry
Fuel Expense,Not Available,23186,0,2026-06-14,2026-06-14,REF61110,NA,CHQ7098,NA,Missing Entry
Office Rent,Office Rent,41729,41729,2026-06-06,2026-06-06,REF37472,REF37472,CHQ8775,CHQ8775,Duplicate
Customer Receipt,Customer Receipt,29759,-29759,2026-06-21,2026-06-21,REF64287,REF64287,CHQ2215,CHQ2215,Reversal Entry
Fuel Expense,Not Available,31302,0,2026-06-08,2026-06-08,REF14345,NA,CHQ5240,NA,Missing Entry
Office Rent,Office Rent,92637,92637,2026-06-05,2026-06-05,REF35301,REF35301,CHQ8540,CHQ8540,Duplicate
Fuel Expense,Fuel Expense,73115,73112,2026-06-25,2026-06-28,REF62644,REF62644,CHQ2169,CHQ2169,Fuzzy Matched
Professional Fees,Not Available,48051,0,2026-06-23,2026-06-23,REF72214,NA,CHQ6853,NA,Missing Entry
Salary Payment,Salary Payment,77664,77664,2026-06-18,2026-06-18,REF58089,REF58089,CHQ4706,CHQ4706,Matched
Salary Payment,Unknown Transaction,94931,189862,2026-06-25,2026-06-25,REF44014,REF44014,CHQ5547,CHQ5547,Suspicious
Fuel Expense,Fuel Expense,55733,55733,2026-06-29,2026-06-29,REF15890,REF15890,CHQ7049,CHQ7049,Matched
GST Payment,GST Payment,91913,91913,2026-06-22,2026-06-22,REF18918,REF18918,CHQ5359,CHQ5359,Duplicate
Electricity Bill,Electricity Bill,47565,47565,2026-06-28,2026-06-28,REF39916,REF39916,CHQ3761,CHQ3761,Duplicate
Electricity Bill,Electricity Bill,51552,51552,2026-06-10,2026-06-10,REF89574,REF89574,CHQ2980,CHQ2980,Duplicate
Electricity Bill,Electricity Bill,77683,77683,2026-06-16,2026-06-16,REF24151,REF24151,CHQ3442,CHQ3442,Matched
Office Rent,Office Rent,16074,-16074,2026-06-24,2026-06-24,REF78477,REF78477,CHQ3849,CHQ3849,Reversal Entry
Electricity Bill,Electricity Bill,61211,61220,2026-06-02,2026-06-05,REF83353,REF83353,CHQ2416,CHQ2416,Fuzzy Matched
Bank Charges,Unknown Transaction,7892,39460,2026-06-04,2026-06-04,REF90694,REF90694,CHQ9820,CHQ9820,Suspicious
Professional Fees,Professional Fees,73389,-73389,2026-06-15,2026-06-15,REF46816,REF46816,CHQ2490,CHQ2490,Reversal Entry
GST Payment,Not Available,23265,0,2026-06-16,2026-06-16,REF13447,NA,CHQ1293,NA,Missing Entry
Bank Charges,Bank Charges,39255,39255,2026-06-28,2026-06-28,REF29152,REF29152,CHQ1554,CHQ1554,Matched
GST Payment,GST Payment,89566,89566,2026-06-12,2026-06-12,REF58581,REF58581,CHQ2380,CHQ2380,Matched
Electricity Bill,Not Available,24106,0,2026-06-02,2026-06-02,REF40589,NA,CHQ1830,NA,Missing Entry
Salary Payment,Salary Payment,80440,80440,2026-06-10,2026-06-10,REF63256,REF63256,CHQ2865,CHQ2865,Duplicate
Salary Payment,Salary Payment,39707,39707,2026-06-13,2026-06-13,REF26585,REF26585,CHQ8619,CHQ8619,Duplicate
Office Rent,Office Rent,66224,66224,2026-06-16,2026-06-16,REF22646,REF22646,CHQ7703,CHQ7703,Matched
Professional Fees,Not Available,3181,0,2026-06-03,2026-06-03,REF78755,NA,CHQ6525,NA,Missing Entry
Office Rent,Office Rent,4349,4355,2026-06-28,2026-06-30,REF61250,REF61250,CHQ9452,CHQ9452,Fuzzy Matched
Salary Payment,Unknown Transaction,92015,184030,2026-06-28,2026-06-28,REF87904,REF87904,CHQ6735,CHQ6735,Suspicious
Fuel Expense,Not Available,70508,0,2026-06-03,2026-06-03,REF67980,NA,CHQ1497,NA,Missing Entry
Bank Charges,Not Available,73479,0,2026-06-03,2026-06-03,REF88047,NA,CHQ5310,NA,Missing Entry
Bank Charges,Bank Charges,64178,64178,2026-06-21,2026-06-21,REF66719,REF66719,CHQ1238,CHQ1238,Duplicate
Electricity Bill,Unknown Transaction,72035,288140,2026-06-24,2026-06-24,REF73867,REF73867,CHQ4155,CHQ4155,Suspicious
GST Payment,Unknown Transaction,18301,73204,2026-07-01,2026-07-01,REF56863,REF56863,CHQ2547,CHQ2547,Suspicious
Vendor Payment,Not Available,30277,0,2026-06-28,2026-06-28,REF69146,NA,CHQ5875,NA,Missing Entry
Professional Fees,Unknown Transaction,34262,171310,2026-06-20,2026-06-20,REF83693,REF83693,CHQ4022,CHQ4022,Suspicious
Salary Payment,Salary Payment,19888,19881,2026-06-13,2026-06-16,REF18161,REF18161,CHQ8276,CHQ8276,Fuzzy Matched
Professional Fees,Professional Fees,40222,40217,2026-06-02,2026-06-04,REF68008,REF68008,CHQ1963,CHQ1963,Fuzzy Matched
Vendor Payment,Vendor Payment,2940,2940,2026-06-10,2026-06-10,REF37914,REF37914,CHQ1668,CHQ1668,Duplicate
Fuel Expense,Fuel Expense,9145,-9145,2026-06-10,2026-06-10,REF62966,REF62966,CHQ1543,CHQ1543,Reversal Entry
Office Rent,Not Available,45759,0,2026-06-10,2026-06-10,REF25703,NA,CHQ4400,NA,Missing Entry
Office Rent,Not Available,85472,0,2026-06-01,2026-06-01,REF74170,NA,CHQ4423,NA,Missing Entry
Salary Payment,Unknown Transaction,89213,356852,2026-06-15,2026-06-15,REF12733,REF12733,CHQ6155,CHQ6155,Suspicious
Fuel Expense,Fuel Expense,89889,89884,2026-06-18,2026-06-21,REF18022,REF18022,CHQ8019,CHQ8019,Fuzzy Matched
Bank Charges,Bank Charges,27283,-27283,2026-06-05,2026-06-05,REF85011,REF85011,CHQ6381,CHQ6381,Reversal Entry
Salary Payment,Unknown Transaction,89398,268194,2026-06-13,2026-06-13,REF48239,REF48239,CHQ9144,CHQ9144,Suspicious
Fuel Expense,Fuel Expense,86333,86333,2026-06-07,2026-06-07,REF33079,REF33079,CHQ8883,CHQ8883,Duplicate
Software Subscription,Software Subscription,64036,64036,2026-06-12,2026-06-12,REF47167,REF47167,CHQ4516,CHQ4516,Matched
Fuel Expense,Unknown Transaction,41365,124095,2026-06-03,2026-06-03,REF32688,REF32688,CHQ1894,CHQ1894,Suspicious
Electricity Bill,Electricity Bill,11889,11889,2026-06-23,2026-06-23,REF84103,REF84103,CHQ2061,CHQ2061,Matched
Bank Charges,Unknown Transaction,69653,278612,2026-06-11,2026-06-11,REF94126,REF94126,CHQ6605,CHQ6605,Suspicious
Salary Payment,Salary Payment,93482,93482,2026-06-16,2026-06-16,REF82586,REF82586,CHQ5131,CHQ5131,Duplicate
Bank Charges,Unknown Transaction,9384,37536,2026-06-07,2026-06-07,REF63513,REF63513,CHQ2232,CHQ2232,Suspicious
Vendor Payment,Vendor Payment,94388,94388,2026-06-15,2026-06-15,REF29076,REF29076,CHQ3854,CHQ3854,Matched
Software Subscription,Not Available,74079,0,2026-06-03,2026-06-03,REF98409,NA,CHQ2341,NA,Missing Entry
Electricity Bill,Unknown Transaction,12841,64205,2026-06-28,2026-06-28,REF26411,REF26411,CHQ2517,CHQ2517,Suspicious
Office Rent,Office Rent,72552,72544,2026-06-17,2026-06-20,REF53187,REF53187,CHQ7251,CHQ7251,Fuzzy Matched
