Book_Description,Bank_Description,Book_Amount,Bank_Amount,Book_Date,Bank_Date,Book_Reference,Bank_Reference,Book_Cheque,Bank_Cheque,Status
Office Rent,Rent Transfer,129769,129769,2026-04-07,2026-04-07,REF621662,REF621662,CHQ2040,CHQ2040,Matched
Fuel Expense,Fuel Card Payment,387193,387193,2026-05-26,2026-05-26,REF530166,REF530166,CHQ8713,CHQ8713,Matched
GST Payment,GST Challan,223684,223684,2026-03-20,2026-03-20,REF406904,REF406904,NA,NA,Matched
Internet Expense,Internet Payment,376546,376546,2026-05-10,2026-05-10,REF501984,REF501984,NA,NA,Matched
GST Payment,GST Challan,2598,2598,2026-06-23,2026-06-23,REF441907,REF441907,CHQ2988,CHQ2988,Matched
Fuel Expense,Fuel Card Payment,427147,427147,2026-02-17,2026-02-17,REF372692,REF663544,NA,NA,Reference Mismatch
Electricity Bill,Electricity Payment,289305,289305,2026-06-23,2026-06-23,REF841489,REF841489,NA,NA,Matched
Office Rent,Rent Transfer,284960,284960,2026-06-10,2026-06-10,REF428483,REF428483,CHQ9176,CHQ9176,Matched
Office Rent,Rent Transfer,13423,13423,2026-03-16,2026-03-16,REF795908,REF795908,CHQ8523,CHQ8523,Matched
Salary Payment,NEFT Salary Transfer,496901,496901,2026-04-10,2026-04-10,REF377282,REF377282,CHQ2813,CHQ2813,Matched
Office Rent,Rent Transfer,11493,11493,2026-04-18,2026-04-18,REF995477,REF995477,NA,NA,Matched
Vendor Payment,Vendor Transfer,257714,257714,2026-05-12,2026-05-12,REF763837,REF763837,CHQ8888,CHQ8888,Matched
Electricity Bill,Electricity Payment,223374,223374,2026-03-07,2026-03-07,REF348395,REF348395,CHQ1966,CHQ1966,Matched
Travel Expense,Travel Reimbursement,95490,95490,2026-02-02,2026-02-02,REF291634,REF291634,CHQ8780,CHQ8780,Probable Match
Software Subscription,Software Auto Debit,284279,284279,2026-02-21,2026-02-21,REF354999,REF354999,CHQ6929,CHQ6929,Matched
Insurance Premium,Insurance Debit,349141,349141,2026-02-21,2026-02-21,REF795286,REF795286,CHQ4686,CHQ4686,Matched
Software Subscription,Software Auto Debit,122691,122691,2026-05-08,2026-05-08,REF247680,REF498088,NA,NA,Reference Mismatch
Bank Charges,Bank Service Charge,258151,258151,2026-06-21,2026-06-21,REF146039,REF146039,CHQ6815,CHQ6815,Probable Match
GST Payment,GST Challan,469054,469054,2026-06-26,2026-06-26,REF757775,REF757775,NA,NA,Matched
Professional Fees,Consultancy Payment,177538,177538,2026-04-08,2026-04-08,REF670184,REF670184,NA,CHQ7563,Cheque Mismatch
Loan EMI,EMI Debit,92085,92085,2026-05-30,2026-05-30,REF675073,REF675073,CHQ7480,CHQ7480,Probable Match
Professional Fees,Consultancy Payment,11957,11957,2026-01-18,2026-01-18,REF109150,REF109150,NA,NA,Matched
Loan EMI,EMI Debit,236568,236568,2026-05-12,2026-05-12,REF242799,REF242799,NA,NA,Matched
Software Subscription,Software Auto Debit,279899,279899,2026-01-14,2026-01-14,REF607692,REF607692,CHQ3508,CHQ3508,Matched
Bank Charges,Bank Service Charge,147947,147947,2026-01-20,2026-01-20,REF515832,REF515832,CHQ8812,CHQ8812,Matched
Professional Fees,Consultancy Payment,355580,355580,2026-05-16,2026-05-16,REF127469,REF127469,CHQ9745,CHQ9745,Matched
Fuel Expense,Fuel Card Payment,80476,80476,2026-05-10,2026-05-10,REF246017,REF246017,CHQ8058,CHQ8058,Matched
Salary Payment,NEFT Salary Transfer,483769,483769,2026-05-09,2026-05-09,REF920688,REF920688,CHQ1694,CHQ1694,Matched
Insurance Premium,Insurance Debit,62838,62838,2026-01-16,2026-01-16,REF111469,REF111469,NA,NA,Matched
Fuel Expense,Fuel Card Payment,83331,83331,2026-04-19,2026-04-19,REF454061,REF454061,CHQ2451,CHQ2451,Probable Match
Fuel Expense,Fuel Card Payment,337471,337471,2026-06-03,2026-06-03,REF482392,REF482392,NA,NA,Matched
Internet Expense,Internet Payment,436966,436966,2026-04-30,2026-04-30,REF788987,REF788987,CHQ2732,CHQ2732,Matched
Office Rent,Rent Transfer,451652,451652,2026-04-28,2026-04-28,REF716460,REF716460,CHQ7830,CHQ7830,Probable Match
Salary Payment,NEFT Salary Transfer,443580,443580,2026-03-05,2026-03-05,REF789304,REF789304,CHQ1883,CHQ1883,Matched
Advertising Expense,Marketing Expense,486407,486407,2026-06-13,2026-06-13,REF872201,REF872201,CHQ6666,CHQ6666,Matched
Internet Expense,Internet Payment,32093,32093,2026-03-17,2026-03-24,REF530622,REF530622,CHQ8059,CHQ8059,Date Difference
Customer Receipt,Customer Credit,56477,56477,2026-01-25,2026-01-25,REF707914,REF975632,CHQ8137,CHQ8137,Reference Mismatch
Loan EMI,EMI Debit,62116,62116,2026-03-20,2026-03-20,REF468563,REF468563,NA,NA,Matched
Fuel Expense,Fuel Card Payment,328410,328410,2026-04-22,2026-04-22,REF232798,REF232798,NA,NA,Matched
Vendor Payment,Vendor Transfer,42616,42616,2026-04-29,2026-04-29,REF362431,REF362431,NA,NA,Matched
Customer Receipt,Customer Credit,69149,69149,2026-04-29,2026-04-29,REF870473,REF870473,NA,NA,Probable Match
Travel Expense,Travel Reimbursement,49676,49676,2026-05-28,2026-05-28,REF179210,REF179210,NA,NA,Matched
Travel Expense,Travel Reimbursement,272452,272452,2026-02-07,2026-02-07,REF734517,REF734517,NA,NA,Matched
Internet Expense,Internet Payment,255326,255326,2026-01-23,2026-01-23,REF748618,REF748618,CHQ3385,CHQ3385,Matched
Insurance Premium,Insurance Debit,331280,331280,2026-05-23,2026-05-23,REF370994,REF912699,NA,NA,Reference Mismatch
Software Subscription,Software Auto Debit,10318,10318,2026-01-22,2026-01-22,REF376988,REF376988,NA,CHQ2802,Cheque Mismatch
Insurance Premium,Insurance Debit,135393,135393,2026-03-08,2026-03-08,REF853990,REF853990,NA,NA,Matched
Internet Expense,Internet Payment,349542,349542,2026-01-05,2026-01-05,REF559792,REF559792,CHQ2236,CHQ2236,Matched
Fuel Expense,Fuel Card Payment,103860,103860,2026-06-02,2026-06-02,REF800902,REF800902,CHQ8628,CHQ8628,Matched
Software Subscription,Software Auto Debit,186328,186328,2026-02-06,2026-02-06,REF796831,REF796831,CHQ8403,CHQ8403,Matched
Loan EMI,EMI Debit,394636,394636,2026-04-20,2026-04-20,REF167662,REF167662,NA,NA,Probable Match
Loan EMI,EMI Debit,422180,422180,2026-05-19,2026-05-19,REF317934,REF317934,NA,NA,Probable Match
Advertising Expense,Marketing Expense,276577,276577,2026-06-14,2026-06-14,REF796801,REF796801,CHQ5623,CHQ5623,Matched
Loan EMI,EMI Debit,112312,112312,2026-06-22,2026-06-22,REF820779,REF820779,NA,NA,Unmatched
Travel Expense,Travel Reimbursement,463713,463713,2026-03-16,2026-03-16,REF239574,REF239574,NA,NA,Matched
Bank Charges,Bank Service Charge,373566,373566,2026-01-17,2026-01-17,REF904286,REF904286,CHQ4425,CHQ4425,Matched
Electricity Bill,Electricity Payment,476047,476047,2026-05-16,2026-05-16,REF579765,REF579765,NA,NA,Matched
Software Subscription,Software Auto Debit,145136,145136,2026-01-18,2026-01-18,REF946756,REF946756,CHQ1894,CHQ1894,Matched
Vendor Payment,Vendor Transfer,358972,358972,2026-04-27,2026-04-27,REF205360,REF205360,NA,NA,Matched
Office Rent,Rent Transfer,402222,402222,2026-03-26,2026-03-26,REF998597,REF998597,CHQ5515,CHQ5515,Matched
Customer Receipt,Customer Credit,490898,490898,2026-03-13,2026-03-13,REF703122,REF703122,NA,NA,Matched
Professional Fees,Consultancy Payment,337793,337793,2026-02-01,2026-02-01,REF551648,REF551648,NA,NA,Matched
Advertising Expense,Marketing Expense,367223,367223,2026-03-15,2026-03-15,REF864917,REF864917,CHQ4409,CHQ4409,Matched
Professional Fees,Consultancy Payment,59018,59018,2026-04-24,2026-05-05,REF312225,REF312225,NA,NA,Date Difference
Office Rent,Rent Transfer,201519,201519,2026-02-10,2026-02-10,REF606783,REF606783,CHQ3503,CHQ3503,Matched
Travel Expense,Travel Reimbursement,285280,285280,2026-05-18,2026-05-18,REF538414,REF887106,NA,NA,Reference Mismatch
Travel Expense,Travel Reimbursement,366918,366918,2026-05-13,2026-05-13,REF870518,REF870518,CHQ1913,CHQ1913,Matched
Bank Charges,Bank Service Charge,317990,317990,2026-06-20,2026-06-20,REF225551,REF492227,CHQ5607,CHQ5607,Reference Mismatch
Software Subscription,Software Auto Debit,62565,62565,2026-05-23,2026-05-23,REF358181,REF358181,CHQ6100,CHQ6100,Probable Match
GST Payment,GST Challan,355337,359510,2026-04-25,2026-04-25,REF960485,REF960485,CHQ2527,CHQ2527,Amount Mismatch
Vendor Payment,Vendor Transfer,232566,232566,2026-04-11,2026-04-11,REF666732,REF666732,NA,NA,Matched
Travel Expense,Travel Reimbursement,449070,450190,2026-04-21,2026-04-21,REF560805,REF560805,CHQ4064,CHQ4064,Amount Mismatch
Software Subscription,Software Auto Debit,499864,499864,2026-04-24,2026-05-14,REF740638,REF740638,CHQ5190,CHQ5190,Date Difference
Software Subscription,Software Auto Debit,6452,6452,2026-03-13,2026-03-13,REF520705,REF520705,CHQ9201,CHQ9201,Probable Match
Professional Fees,Consultancy Payment,152377,152377,2026-03-21,2026-03-21,REF262443,REF262443,CHQ2084,CHQ2084,Matched
Vendor Payment,Vendor Transfer,353278,353793,2026-01-10,2026-01-10,REF428659,REF428659,NA,NA,Amount Mismatch
Professional Fees,Consultancy Payment,274676,274676,2026-03-08,2026-03-08,REF465164,REF465164,CHQ6282,CHQ6282,Matched
Software Subscription,Software Auto Debit,245929,245929,2026-03-13,2026-03-13,REF931039,REF931039,NA,NA,Matched
Travel Expense,Travel Reimbursement,411475,411475,2026-03-01,2026-03-01,REF333418,REF333418,NA,NA,Matched
Insurance Premium,Insurance Debit,61313,61313,2026-04-23,2026-04-23,REF914141,REF914141,CHQ8074,CHQ8074,Matched
Insurance Premium,Insurance Debit,366125,366125,2026-05-26,2026-05-26,REF126052,REF126052,NA,NA,Matched
Bank Charges,Bank Service Charge,108424,108424,2026-06-14,2026-06-14,REF846341,REF846341,NA,NA,Matched
Salary Payment,NEFT Salary Transfer,132328,132328,2026-04-12,2026-04-12,REF241486,REF241486,CHQ6782,CHQ6782,Matched
Electricity Bill,Electricity Payment,130465,130465,2026-04-19,2026-04-19,REF148164,REF148164,CHQ6942,CHQ6942,Matched
Travel Expense,Travel Reimbursement,45072,45072,2026-01-14,2026-01-14,REF699809,REF699809,CHQ5503,CHQ5503,Unmatched
Travel Expense,Travel Reimbursement,138780,138780,2026-05-18,2026-05-18,REF287810,REF287810,CHQ4661,CHQ4661,Matched
Travel Expense,Travel Reimbursement,248480,248480,2026-03-18,2026-03-18,REF813898,REF813898,CHQ3758,CHQ3758,Matched
Vendor Payment,Vendor Transfer,171612,171612,2026-03-31,2026-03-31,REF608816,REF608816,CHQ5583,CHQ5583,Matched
Loan EMI,EMI Debit,207754,207754,2026-01-23,2026-01-23,REF119507,REF119507,CHQ9560,CHQ9560,Matched
GST Payment,GST Challan,76211,76211,2026-02-04,2026-02-04,REF278295,REF278295,CHQ8035,CHQ8035,Matched
Advertising Expense,Marketing Expense,6795,6795,2026-01-07,2026-01-07,REF789119,REF789119,CHQ8123,CHQ8123,Matched
Professional Fees,Consultancy Payment,111705,111705,2026-06-18,2026-06-18,REF585088,REF585088,NA,NA,Probable Match
Travel Expense,Travel Reimbursement,53537,53537,2026-02-11,2026-02-11,REF996053,REF996053,CHQ7907,CHQ7907,Matched
Insurance Premium,Insurance Debit,448301,448301,2026-04-08,2026-04-08,REF371091,REF371091,NA,NA,Probable Match
Loan EMI,EMI Debit,45831,45831,2026-06-02,2026-06-02,REF145208,REF145208,CHQ5506,CHQ5506,Unmatched
Internet Expense,Internet Payment,407337,407337,2026-06-11,2026-06-11,REF973536,REF973536,NA,NA,Matched
Office Rent,Rent Transfer,217351,217351,2026-01-05,2026-01-05,REF628984,REF628984,CHQ8455,CHQ8455,Matched
Electricity Bill,Electricity Payment,58181,61472,2026-05-10,2026-05-10,REF612735,REF612735,NA,NA,Amount Mismatch
Electricity Bill,Electricity Payment,466986,466986,2026-04-29,2026-04-29,REF350484,REF350484,CHQ8306,CHQ8306,Matched
Loan EMI,EMI Debit,393052,393052,2026-02-14,2026-02-14,REF599891,REF599891,CHQ3008,CHQ3008,Matched
Fuel Expense,Fuel Card Payment,44649,44649,2026-02-16,2026-02-16,REF561614,REF561614,CHQ2999,CHQ2999,Matched
Software Subscription,Software Auto Debit,154095,154095,2026-04-06,2026-04-06,REF769725,REF769725,NA,NA,Matched
Fuel Expense,Fuel Card Payment,290286,290286,2026-05-25,2026-05-25,REF804563,REF804563,CHQ6114,CHQ6114,Matched
Office Rent,Rent Transfer,476615,476615,2026-06-26,2026-06-26,REF331727,REF331727,NA,NA,Matched
Salary Payment,NEFT Salary Transfer,116356,116356,2026-05-22,2026-05-22,REF328514,REF328514,CHQ6191,CHQ6191,Matched
Office Rent,Rent Transfer,377078,377078,2026-01-03,2026-01-03,REF961307,REF961307,NA,NA,Matched
Travel Expense,Travel Reimbursement,53599,53599,2026-03-06,2026-03-06,REF597260,REF597260,CHQ5623,CHQ5623,Probable Match
Internet Expense,Internet Payment,196164,196164,2026-04-19,2026-04-19,REF618157,REF618157,NA,NA,Matched
Fuel Expense,Fuel Card Payment,399928,399928,2026-03-14,2026-03-14,REF461027,REF461027,CHQ1335,CHQ1335,Matched
Professional Fees,Consultancy Payment,458528,462224,2026-03-10,2026-03-10,REF428696,REF428696,NA,NA,Amount Mismatch
Fuel Expense,Fuel Card Payment,2631,2631,2026-04-16,2026-04-16,REF190092,REF190092,CHQ4876,CHQ4876,Matched
Electricity Bill,Electricity Payment,260080,260080,2026-02-13,2026-02-13,REF418717,REF418717,NA,NA,Matched
Travel Expense,Travel Reimbursement,52514,52514,2026-06-08,2026-06-08,REF967048,REF967048,CHQ7042,CHQ7042,Matched
Fuel Expense,Fuel Card Payment,484306,484306,2026-01-07,2026-01-07,REF254114,REF254114,CHQ1193,CHQ1193,Matched
GST Payment,GST Challan,12348,12348,2026-06-22,2026-06-22,REF156015,REF156015,NA,NA,Matched
Electricity Bill,Electricity Payment,465757,465757,2026-06-17,2026-06-17,REF896089,REF218708,NA,NA,Reference Mismatch
Professional Fees,Consultancy Payment,285932,285932,2026-02-16,2026-02-16,REF817068,REF817068,NA,NA,Probable Match
Bank Charges,Bank Service Charge,55218,55218,2026-05-11,2026-05-11,REF758336,REF758336,CHQ2961,CHQ2961,Matched
Software Subscription,Software Auto Debit,233511,233511,2026-06-08,2026-06-08,REF651267,REF651267,CHQ3946,CHQ3946,Matched
Internet Expense,Internet Payment,13791,13791,2026-05-12,2026-05-12,REF362789,REF362789,NA,NA,Matched
Salary Payment,NEFT Salary Transfer,373157,373157,2026-06-16,2026-06-16,REF530600,REF530600,NA,NA,Matched
Professional Fees,Consultancy Payment,9364,9364,2026-01-05,2026-01-05,REF324463,REF324463,NA,NA,Matched
Salary Payment,NEFT Salary Transfer,195149,195540,2026-05-16,2026-05-16,REF635189,REF635189,NA,NA,Amount Mismatch
Professional Fees,Consultancy Payment,448294,448294,2026-05-18,2026-05-30,REF294220,REF294220,CHQ3532,CHQ3532,Date Difference
Travel Expense,Travel Reimbursement,435045,435045,2026-01-08,2026-01-08,REF945834,REF195133,NA,NA,Reference Mismatch
Customer Receipt,Customer Credit,498532,498532,2026-04-12,2026-04-12,REF104202,REF104202,CHQ8661,CHQ8661,Matched
Software Subscription,Software Auto Debit,182117,182117,2026-02-19,2026-02-19,REF963205,REF963205,NA,NA,Probable Match
Office Rent,Rent Transfer,237613,237613,2026-01-31,2026-01-31,REF616934,REF933718,NA,NA,Reference Mismatch
Insurance Premium,Insurance Debit,494665,494665,2026-03-14,2026-03-14,REF474392,REF474392,NA,NA,Matched
Office Rent,Rent Transfer,324206,324206,2026-05-30,2026-05-30,REF126902,REF126902,NA,NA,Matched
Vendor Payment,Vendor Transfer,464104,464104,2026-02-26,2026-02-26,REF459225,REF459225,NA,NA,Matched
Travel Expense,Travel Reimbursement,58305,58305,2026-01-22,2026-01-22,REF515088,REF515088,CHQ1950,CHQ1950,Matched
Software Subscription,Software Auto Debit,271123,271123,2026-03-22,2026-03-22,REF523391,REF523391,NA,NA,Matched
Travel Expense,Travel Reimbursement,119154,119649,2026-04-20,2026-04-20,REF167328,REF167328,NA,NA,Amount Mismatch
Salary Payment,NEFT Salary Transfer,118982,118982,2026-06-19,2026-06-19,REF404626,REF404626,NA,NA,Matched
Fuel Expense,Fuel Card Payment,211108,211108,2026-06-19,2026-06-19,REF364293,REF364293,CHQ5630,CHQ5630,Matched
GST Payment,GST Challan,477364,477364,2026-05-20,2026-05-20,REF280220,REF280220,CHQ6235,CHQ6235,Matched
Vendor Payment,Vendor Transfer,168662,168662,2026-06-24,2026-06-24,REF389813,REF231277,CHQ5785,CHQ5785,Reference Mismatch
Vendor Payment,Vendor Transfer,417876,417876,2026-06-14,2026-06-14,REF235270,REF235270,CHQ2395,CHQ2395,Matched
Office Rent,Rent Transfer,340584,340584,2026-01-04,2026-01-04,REF825147,REF660810,CHQ4557,CHQ4557,Reference Mismatch
Software Subscription,Software Auto Debit,133820,133820,2026-03-17,2026-03-17,REF685838,REF603162,CHQ9415,CHQ9415,Reference Mismatch
Travel Expense,Travel Reimbursement,68164,68164,2026-04-18,2026-04-18,REF877495,REF842414,CHQ6817,CHQ6817,Reference Mismatch
Insurance Premium,Insurance Debit,181710,184506,2026-03-20,2026-03-20,REF484172,REF484172,NA,NA,Amount Mismatch
Loan EMI,EMI Debit,344373,344373,2026-04-23,2026-04-23,REF776420,REF776420,CHQ2144,CHQ2144,Probable Match
GST Payment,GST Challan,177387,177387,2026-02-03,2026-02-03,REF768518,REF768518,NA,NA,Matched
Internet Expense,Internet Payment,305654,305654,2026-03-19,2026-03-19,REF874691,REF874691,CHQ2725,CHQ2725,Matched
GST Payment,GST Challan,416330,416330,2026-06-08,2026-06-08,REF707197,REF707197,CHQ7948,CHQ7948,Matched
Travel Expense,Travel Reimbursement,389450,389450,2026-02-08,2026-02-08,REF305001,REF305001,CHQ5602,CHQ5602,Matched
Software Subscription,Software Auto Debit,111354,111354,2026-01-16,2026-01-16,REF493544,REF493544,CHQ1667,CHQ1667,Matched
Customer Receipt,Customer Credit,119412,119412,2026-06-22,2026-06-22,REF557522,REF557522,NA,NA,Matched
Salary Payment,NEFT Salary Transfer,1578,1578,2026-02-06,2026-02-06,REF593170,REF593170,NA,CHQ6813,Cheque Mismatch
Software Subscription,Software Auto Debit,169564,169564,2026-01-04,2026-01-04,REF874582,REF874582,CHQ1723,CHQ1723,Matched
Internet Expense,Internet Payment,365836,365836,2026-06-20,2026-06-20,REF196888,REF196888,CHQ7422,CHQ7422,Matched
Internet Expense,Internet Payment,10190,10190,2026-02-20,2026-02-20,REF535205,REF535205,CHQ5825,CHQ5825,Matched
Office Rent,Rent Transfer,52644,52644,2026-02-24,2026-02-24,REF344030,REF344030,NA,NA,Matched
Insurance Premium,Insurance Debit,267292,271054,2026-06-08,2026-06-08,REF134109,REF134109,CHQ7007,CHQ7007,Amount Mismatch
Professional Fees,Consultancy Payment,111782,111782,2026-06-24,2026-06-24,REF356345,REF356345,CHQ3897,CHQ3897,Matched
Insurance Premium,Insurance Debit,40625,40625,2026-02-18,2026-02-18,REF717358,REF717358,NA,NA,Matched
Software Subscription,Software Auto Debit,360651,360651,2026-03-27,2026-03-27,REF676666,REF676666,CHQ2852,CHQ2852,Matched
Professional Fees,Consultancy Payment,78104,78104,2026-03-08,2026-03-08,REF953966,REF953966,NA,NA,Matched
Office Rent,Rent Transfer,360313,360313,2026-03-05,2026-03-05,REF847915,REF847915,NA,NA,Probable Match
Insurance Premium,Insurance Debit,418425,418425,2026-03-16,2026-03-16,REF705791,REF705791,CHQ4473,CHQ4473,Matched
Salary Payment,NEFT Salary Transfer,355961,355961,2026-02-24,2026-02-24,REF146696,REF146696,NA,NA,Matched
Software Subscription,Software Auto Debit,421876,421876,2026-01-06,2026-01-06,REF841264,REF841264,CHQ1745,CHQ1745,Probable Match
Insurance Premium,Insurance Debit,279963,279963,2026-02-15,2026-02-15,REF423852,REF423852,CHQ4804,CHQ4804,Matched
Professional Fees,Consultancy Payment,12263,12263,2026-05-13,2026-05-13,REF411630,REF411630,NA,NA,Matched
Customer Receipt,Customer Credit,482567,482567,2026-06-23,2026-06-23,REF735450,REF735450,CHQ8259,CHQ8259,Matched
Fuel Expense,Fuel Card Payment,398420,398420,2026-02-05,2026-02-05,REF746958,REF746958,NA,NA,Matched
Travel Expense,Travel Reimbursement,111820,111820,2026-02-15,2026-02-15,REF677633,REF677633,NA,NA,Matched
Customer Receipt,Customer Credit,440275,440275,2026-05-08,2026-05-08,REF636316,REF636316,CHQ6836,CHQ6836,Matched
Office Rent,Rent Transfer,167191,167191,2026-02-07,2026-02-07,REF539048,REF539048,NA,NA,Matched
Loan EMI,EMI Debit,476598,476598,2026-03-12,2026-03-12,REF690428,REF690428,NA,NA,Matched
GST Payment,GST Challan,100063,100063,2026-03-03,2026-03-03,REF741157,REF741157,NA,NA,Unmatched
Travel Expense,Travel Reimbursement,354511,354511,2026-01-13,2026-01-13,REF672039,REF672039,NA,NA,Matched
Electricity Bill,Electricity Payment,306501,306501,2026-04-30,2026-04-30,REF873596,REF873596,NA,NA,Matched
Internet Expense,Internet Payment,352447,352447,2026-05-12,2026-05-12,REF987023,REF987023,CHQ6716,CHQ6716,Matched
Fuel Expense,Fuel Card Payment,286408,286408,2026-04-08,2026-04-08,REF420606,REF420606,NA,CHQ2969,Cheque Mismatch
Internet Expense,Internet Payment,307310,307310,2026-03-05,2026-03-05,REF453481,REF453481,CHQ9382,CHQ9382,Matched
Salary Payment,NEFT Salary Transfer,248367,248367,2026-02-03,2026-02-03,REF367807,REF367807,NA,NA,Probable Match
Fuel Expense,Fuel Card Payment,37418,37418,2026-01-13,2026-01-13,REF129616,REF129616,CHQ2847,CHQ2847,Matched
Internet Expense,Internet Payment,282634,282634,2026-02-19,2026-02-19,REF441017,REF441017,CHQ8763,CHQ8763,Matched
Loan EMI,EMI Debit,114245,114245,2026-02-28,2026-02-28,REF633849,REF633849,CHQ3042,CHQ3042,Matched
Customer Receipt,Customer Credit,31334,31334,2026-02-05,2026-02-05,REF328561,REF328561,CHQ6395,CHQ4100,Cheque Mismatch
Customer Receipt,Customer Credit,478690,478690,2026-03-25,2026-03-25,REF848379,REF848379,CHQ6384,CHQ6384,Matched
Vendor Payment,Vendor Transfer,323581,323581,2026-03-16,2026-03-16,REF182611,REF182611,CHQ4585,CHQ5921,Cheque Mismatch
Internet Expense,Internet Payment,472121,472121,2026-02-22,2026-02-22,REF507935,REF507935,NA,NA,Matched
Loan EMI,EMI Debit,135267,135267,2026-05-23,2026-05-23,REF865834,REF865834,CHQ1386,CHQ1386,Matched
Internet Expense,Internet Payment,75467,75467,2026-03-21,2026-03-21,REF428895,REF428895,NA,NA,Matched
Software Subscription,Software Auto Debit,241326,241326,2026-04-05,2026-04-05,REF974652,REF974652,NA,NA,Probable Match
Internet Expense,Internet Payment,114038,114038,2026-01-29,2026-01-29,REF716705,REF716705,CHQ3772,CHQ3772,Probable Match
Vendor Payment,Vendor Transfer,335428,335428,2026-01-28,2026-01-28,REF436799,REF436799,CHQ1684,CHQ1684,Matched
Office Rent,Rent Transfer,122247,122247,2026-03-17,2026-03-31,REF753038,REF753038,NA,NA,Date Difference
Software Subscription,Software Auto Debit,148695,148695,2026-03-10,2026-03-10,REF498003,REF498003,NA,NA,Matched
Travel Expense,Travel Reimbursement,12896,12896,2026-01-23,2026-01-23,REF719624,REF719624,NA,NA,Matched
Professional Fees,Consultancy Payment,65848,65848,2026-02-02,2026-02-02,REF177839,REF177839,NA,NA,Matched
Loan EMI,EMI Debit,198073,200607,2026-02-06,2026-02-06,REF985260,REF985260,NA,NA,Amount Mismatch
GST Payment,GST Challan,301788,301788,2026-04-15,2026-04-15,REF367323,REF367323,NA,NA,Matched
Insurance Premium,Insurance Debit,275751,275751,2026-05-13,2026-05-13,REF138378,REF138378,CHQ6809,CHQ6809,Matched
Travel Expense,Travel Reimbursement,115190,115190,2026-01-29,2026-01-29,REF814694,REF814694,NA,NA,Matched
Loan EMI,EMI Debit,211176,211176,2026-05-29,2026-05-29,REF508402,REF508402,CHQ9109,CHQ9109,Matched
Software Subscription,Software Auto Debit,224709,224709,2026-02-03,2026-02-03,REF262770,REF534915,NA,NA,Reference Mismatch
Software Subscription,Software Auto Debit,444827,444827,2026-01-29,2026-02-10,REF961973,REF961973,NA,NA,Date Difference
Customer Receipt,Customer Credit,188961,188961,2026-01-17,2026-01-17,REF938712,REF938712,NA,NA,Matched
Professional Fees,Consultancy Payment,495639,495639,2026-04-03,2026-04-03,REF851026,REF851026,CHQ1892,CHQ1892,Matched
Customer Receipt,Customer Credit,269233,269233,2026-05-22,2026-05-22,REF520077,REF520077,CHQ5629,CHQ5629,Matched
Travel Expense,Travel Reimbursement,89647,89647,2026-02-09,2026-02-09,REF788752,REF788752,CHQ5152,CHQ5152,Matched
GST Payment,GST Challan,414299,414299,2026-04-01,2026-04-01,REF312952,REF312952,CHQ8941,CHQ8941,Matched
Software Subscription,Software Auto Debit,145694,145694,2026-03-31,2026-03-31,REF925338,REF925338,NA,NA,Matched
Vendor Payment,Vendor Transfer,158711,158711,2026-05-22,2026-05-22,REF719159,REF719159,NA,NA,Matched
Professional Fees,Consultancy Payment,140947,140947,2026-06-17,2026-06-17,REF334223,REF334223,CHQ1662,CHQ1662,Matched
Fuel Expense,Fuel Card Payment,258174,258174,2026-01-13,2026-01-13,REF450014,REF450014,NA,NA,Matched
Loan EMI,EMI Debit,78831,81719,2026-04-04,2026-04-04,REF822395,REF822395,CHQ9567,CHQ9567,Amount Mismatch
Vendor Payment,Vendor Transfer,198725,198725,2026-04-21,2026-04-21,REF293386,REF293386,NA,NA,Matched
Advertising Expense,Marketing Expense,292574,292574,2026-01-26,2026-01-26,REF184660,REF184660,NA,NA,Matched
Professional Fees,Consultancy Payment,209522,209522,2026-06-14,2026-06-14,REF554216,REF525809,CHQ3948,CHQ3948,Reference Mismatch
Bank Charges,Bank Service Charge,372066,372066,2026-06-25,2026-06-25,REF968037,REF968037,CHQ3753,CHQ3753,Matched
Electricity Bill,Electricity Payment,79884,79884,2026-01-08,2026-01-08,REF403295,REF395934,CHQ3322,CHQ3322,Reference Mismatch
Advertising Expense,Marketing Expense,387941,387941,2026-03-19,2026-03-19,REF176339,REF176339,CHQ7599,CHQ7599,Matched
Vendor Payment,Vendor Transfer,262458,266079,2026-03-31,2026-03-31,REF741876,REF741876,NA,NA,Amount Mismatch
Advertising Expense,Marketing Expense,359739,359739,2026-06-18,2026-06-18,REF614650,REF614650,CHQ9698,CHQ9698,Matched
Salary Payment,NEFT Salary Transfer,358762,358762,2026-05-31,2026-05-31,REF599589,REF599589,CHQ8914,CHQ8914,Probable Match
Salary Payment,NEFT Salary Transfer,86223,86223,2026-03-12,2026-03-12,REF563132,REF563132,CHQ9005,CHQ9005,Probable Match
Electricity Bill,Electricity Payment,262035,262035,2026-03-28,2026-03-28,REF890181,REF890181,NA,NA,Matched
Office Rent,Rent Transfer,387633,387633,2026-01-18,2026-01-18,REF812406,REF812406,NA,NA,Matched
Salary Payment,NEFT Salary Transfer,286314,286314,2026-05-30,2026-05-30,REF737849,REF737849,NA,NA,Probable Match
Office Rent,Rent Transfer,196318,196318,2026-05-19,2026-05-19,REF982090,REF982090,NA,CHQ1657,Cheque Mismatch
GST Payment,GST Challan,162517,162517,2026-04-26,2026-04-26,REF947145,REF947145,NA,NA,Matched
